label,binned_values,number_of_bins,probabilities
Ppap2b,"[1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 5, 1, 1, 4, 1, 4, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 5, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 1, 4, 1, 1, 3, 1, 1, 1, 1, 5, 1, 1, 4, 1, 5, 1, 1, 4, 1, 2, 2, 2, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 4, 5, 1, 1, 1, 1, 4, 1, 4, 1, 1, 2, 1, 1, 1, 3, 1, 2, 4, 2, 1, 2, 1, 2, 4, 1, 1, 1, 1, 4, 1, 4, 1, 2, 1, 1, 2, 2, 1, 4, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 4, 2, 4, 4, 1, 1, 1, 2, 1, 2, 1, 1, 4, 2, 2, 2, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 3, 2, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 2, 2, 5, 4, 1, 3]",5,"[0.63, 0.185, 0.04, 0.1, 0.045]"
Fabp7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 4, 1, 4, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 4, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 5, 4, 1, 2]",5,"[0.77, 0.12, 0.045, 0.05, 0.015]"
Sparcl1,"[1, 2, 3, 4, 1, 3, 4, 3, 1, 4, 1, 1, 5, 3, 3, 4, 3, 5, 5, 1, 1, 2, 1, 2, 4, 2, 3, 1, 1, 5, 4, 3, 3, 3, 3, 3, 5, 1, 2, 1, 2, 5, 3, 2, 1, 1, 3, 4, 2, 5, 3, 4, 5, 3, 5, 2, 3, 4, 1, 3, 1, 3, 4, 4, 5, 3, 2, 3, 2, 3, 4, 1, 4, 1, 4, 1, 3, 5, 1, 1, 4, 1, 3, 2, 3, 3, 2, 4, 2, 3, 4, 4, 2, 3, 3, 1, 4, 2, 4, 3, 3, 1, 3, 1, 4, 1, 2, 2, 2, 3, 3, 3, 1, 1, 3, 3, 2, 3, 4, 4, 1, 4, 3, 3, 3, 3, 3, 3, 3, 4, 1, 4, 1, 3, 3, 4, 2, 4, 1, 3, 2, 2, 1, 2, 3, 1, 3, 4, 3, 3, 4, 5, 1, 4, 3, 5, 4, 3, 4, 3, 4, 2, 1, 4, 4, 3, 1, 3, 5, 1, 4, 2, 1, 2, 1, 3, 3, 3, 1, 3, 1, 1, 2, 1, 4, 3, 3, 5, 4, 3, 3, 2, 4, 3, 1, 2, 5, 4, 1, 5]",5,"[0.23, 0.15, 0.33, 0.205, 0.085]"
Dtna,"[1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 1, 1, 1, 2, 3, 1, 2, 1, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 2, 3, 1, 2, 1, 3, 2, 3, 1, 2, 2, 2, 2, 3, 1, 1, 1, 2, 2, 2, 1, 2, 1, 4, 2, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 2, 1, 1, 4, 2, 2, 1, 3, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 3, 1, 1, 3, 2, 1, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1, 2, 2, 1, 1, 3, 1, 1, 3, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 3, 2, 1, 1, 1, 1, 3, 1, 1, 2]",4,"[0.51, 0.355, 0.11, 0.025]"
Oat,"[3, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 3, 4, 2, 1, 2, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 4, 1, 1, 1, 2, 1, 3, 1, 2, 4, 3, 3, 2, 2, 1, 1, 3, 2, 1, 3, 3, 3, 3, 3, 2, 4, 1, 3, 1, 2, 1, 1, 1, 2, 2, 1, 1, 4, 2, 2, 2, 4, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 4, 3, 3, 1, 1, 1, 2, 1, 1, 2, 3, 2, 1, 2, 4, 1, 1, 2, 1, 2, 2, 2, 4, 2, 1, 3, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 3, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 4, 1, 4, 3, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 4, 1, 4, 2, 1, 2, 1, 2, 3, 2, 2, 2]",4,"[0.435, 0.38, 0.12, 0.065]"
Cxcl14,"[3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 4, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 4, 4, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 1, 1, 3, 4, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 3, 1, 4, 1, 1, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 2, 4, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2]",4,"[0.77, 0.12, 0.06, 0.05]"
Ldhb,"[5, 2, 1, 3, 2, 2, 3, 3, 2, 4, 4, 2, 3, 3, 2, 2, 2, 3, 4, 2, 2, 2, 2, 1, 2, 1, 3, 1, 2, 3, 2, 5, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 5, 1, 3, 2, 3, 1, 3, 2, 3, 4, 2, 3, 2, 2, 2, 1, 3, 1, 3, 4, 5, 3, 5, 4, 2, 1, 5, 3, 1, 2, 2, 2, 2, 3, 2, 2, 2, 5, 3, 4, 1, 4, 3, 3, 3, 3, 2, 3, 1, 3, 3, 4, 2, 2, 2, 3, 5, 2, 2, 3, 1, 2, 2, 1, 2, 2, 2, 5, 2, 2, 2, 1, 3, 2, 1, 3, 4, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 1, 2, 1, 3, 2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 1, 1, 2, 3, 1, 3, 4, 3, 2, 2, 1, 5, 3, 3, 4, 3, 2, 2, 2, 2, 2, 2, 2, 4, 5, 2, 4, 2, 1, 2, 3, 1, 4, 2, 2, 1, 2, 1, 2, 3, 2, 2, 3, 4, 2, 2, 4, 2, 3, 3, 2, 2, 3, 2, 1, 4]",5,"[0.135, 0.44, 0.275, 0.095, 0.055]"
Gabrb1,"[2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 4, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 3, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 4, 2, 2, 3, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1, 2, 4, 1, 2, 2, 3, 1, 1, 2, 2, 1, 4, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 2, 1, 4, 1, 1, 3, 1, 1, 3, 2, 1, 1, 1, 1, 3, 2, 1, 1, 1, 4, 1, 1, 1, 3, 3, 4, 1, 1, 1, 1, 3, 2, 1, 4, 1, 1, 1, 1, 1, 4, 1, 1, 2, 3, 1, 1, 4, 1, 1, 4, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 2, 1, 1, 3, 3, 4, 3, 4, 3, 4, 1, 1, 3, 1, 2, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 3, 2, 1, 3, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1]",4,"[0.6, 0.17, 0.145, 0.085]"
Grin3a,"[1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 3, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 4, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 4, 1, 2, 1, 1, 1, 1, 1, 1, 2, 4, 1, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 4, 1, 2, 1, 3, 1, 1, 1, 1, 2, 1, 2]",4,"[0.695, 0.21, 0.065, 0.03]"
Gja1,"[1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 4, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3, 1, 4, 2, 3, 3, 1, 1, 1, 1, 2, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 2, 1, 1, 3, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 2, 1, 4, 3, 2, 3]",4,"[0.75, 0.075, 0.115, 0.06]"
