"","from","to"
"1467","Mapre2","Camk1d"
"1468","Mapre2","Lphn1"
"1469","Mapre2","Rnf44"
"1470","Ptprs","Slc12a5"
"1471","Ptprs","Sult4a1"
"1472","Ptprs","Lmo4"
"1473","Ptprs","Pcdh7"
"1474","Ptprs","Camk1d"
"1475","Ptprs","Herc2"
"1476","Ptprs","Fbxo11"
"1477","Ptprs","Atp2b2"
"1478","Ptprs","Lphn1"
"1479","Ptprs","Abr"
"1480","Ptprs","Strbp"
"1481","Ptprs","Rap1a"
"1482","Ptprs","Tef"
"1483","Med13","Camk1d"
"1484","Med13","Bai1"
"1485","Med13","Tpd52"
"1486","Med13","Tef"
"1487","Slc12a5","Crtac1"
"1488","Slc12a5","Lgi1"
"1489","Slc12a5","Dock3"
"1490","Slc12a5","Sult4a1"
"1491","Slc12a5","Camk1d"
"1492","Slc12a5","Herc2"
"1493","Slc12a5","Fbxo11"
"1494","Slc12a5","Atp2b2"
"1495","Slc12a5","Lphn1"
"1496","Slc12a5","Abr"
"1497","Slc12a5","Strbp"
"1498","Slc12a5","Csrp1"
"1499","Slc12a5","Tef"
"1500","Ralgps2","A830010M20Rik"
"1501","Ralgps2","Lphn1"
"1502","Ralgps2","Strbp"
"1503","Ralgps2","Rab9"
"1504","Ralgps2","Tef"
"1505","Crtac1","Lgi1"
"1506","Crtac1","Sult4a1"
"1507","Crtac1","Pcdh7"
"1508","Crtac1","Herc2"
"1509","Crtac1","Asph"
"1510","Lgi1","Sult4a1"
"1511","Lgi1","A830010M20Rik"
"1512","Lgi1","Herc2"
"1513","Lgi1","Lphn1"
"1514","Lgi1","Abr"
"1515","Lgi1","Asph"
"1516","Lgi1","Ncam1"
"1517","Dock3","Faim2"
"1518","Dock3","Atp2b2"
"1519","Dock3","Lphn1"
"1520","Dock3","Bai1"
"1521","Dock3","Reep5"
"1522","Sult4a1","Lmo4"
"1523","Sult4a1","Faim2"
"1524","Sult4a1","A830010M20Rik"
"1525","Sult4a1","Atp2b2"
"1526","Sult4a1","Lphn1"
"1527","Sult4a1","Abr"
"1528","Sult4a1","Strbp"
"1529","Sult4a1","Csrp1"
"1530","Sult4a1","Reep5"
"1531","Sult4a1","Ncam1"
"1532","Lmo4","A830010M20Rik"
"1533","Lmo4","Camk1d"
"1534","Lmo4","Lphn1"
"1535","Lmo4","Abr"
"1536","Lmo4","Bai1"
"1537","Lmo4","Gatm"
"1538","Lmo4","Neo1"
"1539","Faim2","Brd2"
"1540","Faim2","Fbxo11"
"1541","Faim2","Atp2b2"
"1542","Faim2","Rnf44"
"1543","Faim2","Rab9"
"1544","Faim2","Ncam1"
"1545","Faim2","Lmbrd1"
"1546","A830010M20Rik","Pcdh7"
"1547","A830010M20Rik","Camk1d"
"1548","A830010M20Rik","Herc2"
"1549","A830010M20Rik","Atp2b2"
"1550","A830010M20Rik","Lphn1"
"1551","Pcdh7","Bai1"
"1552","Pcdh7","Rab9"
"1553","Camk1d","Herc2"
"1554","Camk1d","Fbxo11"
"1555","Camk1d","Lphn1"
"1556","Camk1d","Abr"
"1557","Camk1d","Csrp1"
"1558","Ank","Gatm"
"1559","Ank","Tulp4"
"1560","Ank","Tpd52"
"1561","Ank","Abcd3"
"1562","Ank","Btf3"
"1563","Ank","Stox2"
"1564","Ank","Ncam1"
"1565","Ank","Adipor2"
"1566","Ank","Lmbrd1"
"1567","Herc2","Fbxo11"
"1568","Herc2","Atp2b2"
"1569","Herc2","Lphn1"
"1570","Herc2","Strbp"
"1571","Herc2","Stox2"
"1572","Brd2","Atp2b2"
"1573","Brd2","Rnf44"
"1574","Brd2","Tpd52"
"1575","Brd2","Ubl3"
"1576","Brd2","Aplp2"
"1577","Brd2","Ncam1"
"1578","Fbxo11","Strbp"
"1579","Fbxo11","Neo1"
"1580","Atp2b2","Lphn1"
"1581","Atp2b2","Abr"
"1582","Atp2b2","Bai1"
"1583","Atp2b2","Strbp"
"1584","Atp2b2","Reep5"
"1585","Atp2b2","Aplp2"
"1586","Atp2b2","Ncam1"
"1587","Atp2b2","Tef"
"1588","Lphn1","Bai1"
"1589","Lphn1","Strbp"
"1590","Lphn1","Ptprd"
"1591","Lphn1","Tef"
"1592","Abr","Gjc3"
"1593","Abr","Csrp1"
"1594","Abr","Gatm"
"1595","Abr","Efnb3"
"1596","Abr","Rap1a"
"1597","Abr","Slc12a2"
"1598","Abr","Apod"
"1599","Abr","Ncam1"
"1600","Bai1","Rnf44"
"1601","Bai1","Neo1"
"1602","Bai1","Tef"
"1603","Strbp","Adipor2"
"1604","Strbp","Lmbrd1"
"1605","Strbp","Tef"
"1606","Gjc3","Csrp1"
"1607","Gjc3","Gatm"
"1608","Gjc3","Efnb3"
"1609","Gjc3","Ddr1"
"1610","Gjc3","Slc12a2"
"1611","Gjc3","Apod"
"1612","Gjc3","Adipor2"
"1613","Gjc3","Ptprd"
"1614","Csrp1","Gatm"
"1615","Csrp1","Bcan"
"1616","Csrp1","Ddr1"
"1617","Csrp1","Slc12a2"
"1618","Csrp1","Apod"
"1619","Gatm","Efnb3"
"1620","Gatm","Rap1a"
"1621","Gatm","Ddr1"
"1622","Gatm","Tpd52"
"1623","Gatm","Slc12a2"
"1624","Gatm","Apod"
"1625","Gatm","Neo1"
"1626","Gatm","Adipor2"
"1627","Gatm","Ptprd"
"1628","Bcan","Efnb3"
"1629","Bcan","Abcd3"
"1630","Bcan","Rps12"
"1631","Bcan","Ptprd"
"1632","Rnf44","Tulp4"
"1633","Rnf44","Reep5"
"1634","Rnf44","Lmbrd1"
"1635","Efnb3","Rap1a"
"1636","Efnb3","Ddr1"
"1637","Efnb3","Tulp4"
"1638","Efnb3","Tpd52"
"1639","Efnb3","Slc12a2"
"1640","Efnb3","Apod"
"1641","Efnb3","Rab9"
"1642","Efnb3","Btf3"
"1643","Efnb3","Endod1"
"1644","Efnb3","Prkcz"
"1645","Efnb3","Neo1"
"1646","Efnb3","Adipor2"
"1647","Efnb3","Ptprd"
"1648","Rap1a","Ddr1"
"1649","Rap1a","Tulp4"
"1650","Rap1a","Tpd52"
"1651","Rap1a","Slc12a2"
"1652","Rap1a","Abcd3"
"1653","Rap1a","Ktn1"
"1654","Rap1a","Ubl3"
"1655","Rap1a","Btf3"
"1656","Rap1a","Rps12"
"1657","Rap1a","Stox2"
"1658","Rap1a","Neo1"
"1659","Rap1a","Ptprd"
"1660","Ddr1","Tulp4"
"1661","Ddr1","Cadm4"
"1662","Ddr1","Slc12a2"
"1663","Ddr1","Apod"
"1664","Ddr1","Btf3"
"1665","Ddr1","Adipor2"
"1666","Ddr1","Ptprd"
"1667","Tulp4","Tpd52"
"1668","Tulp4","Cadm4"
"1669","Tulp4","Abcd3"
"1670","Tulp4","Ubl3"
"1671","Tulp4","Rab9"
"1672","Tulp4","Btf3"
"1673","Tulp4","Endod1"
"1674","Tulp4","Prkcz"
"1675","Tulp4","Neo1"
"1676","Tulp4","Adipor2"
"1677","Tulp4","Ptprd"
"1678","Tpd52","Cadm4"
"1679","Tpd52","Reep5"
"1680","Tpd52","Slc12a2"
"1681","Tpd52","Ktn1"
"1682","Tpd52","Apod"
"1683","Tpd52","Rab9"
"1684","Tpd52","Btf3"
"1685","Tpd52","Endod1"
"1686","Tpd52","Prkcz"
"1687","Tpd52","Rps12"
"1688","Tpd52","Adipor2"
"1689","Tpd52","Ptprd"
"1690","Cadm4","Slc12a2"
"1691","Cadm4","Abcd3"
"1692","Cadm4","Ubl3"
"1693","Cadm4","Rab9"
"1694","Cadm4","Btf3"
"1695","Cadm4","Endod1"
"1696","Cadm4","Aplp2"
"1697","Cadm4","Prkcz"
"1698","Cadm4","Stox2"
"1699","Cadm4","Adipor2"
"1700","Cadm4","Ptprd"
"1701","Cadm4","Lmbrd1"
"1702","Reep5","Ubl3"
"1703","Reep5","Aplp2"
"1704","Reep5","Stox2"
"1705","Reep5","Ncam1"
"1706","Reep5","Lmbrd1"
"1707","Slc12a2","Apod"
"1708","Slc12a2","Btf3"
"1709","Slc12a2","Adipor2"
"1710","Slc12a2","Ptprd"
"1711","Abcd3","Ubl3"
"1712","Abcd3","Btf3"
"1713","Abcd3","Endod1"
"1714","Abcd3","Lmbrd1"
"1715","Ktn1","Btf3"
"1716","Ktn1","Ncam1"
"1717","Ktn1","Neo1"
"1718","Ktn1","Tef"
"1719","Apod","Adipor2"
"1720","Apod","Ptprd"
"1721","Ubl3","Endod1"
"1722","Ubl3","Aplp2"
"1723","Ubl3","Stox2"
"1724","Ubl3","Lmbrd1"
"1725","Rab9","Btf3"
"1726","Rab9","Rps12"
"1727","Rab9","Neo1"
"1728","Rab9","Ptprd"
"1729","Btf3","Endod1"
"1730","Btf3","Rps12"
"1731","Btf3","Neo1"
"1732","Btf3","Adipor2"
"1733","Btf3","Ptprd"
"1734","Btf3","Lmbrd1"
"1735","Endod1","Prkcz"
"1736","Endod1","Stox2"
"1737","Endod1","Adipor2"
"1738","Endod1","Ptprd"
"1739","Endod1","Lmbrd1"
"1740","Prkcz","Lmbrd1"
"1741","Rps12","Neo1"
"1742","Neo1","Adipor2"
"1743","Neo1","Ptprd"
"1744","Adipor2","Lmbrd1"
