upregulated,,,downregulated,,
gene id,log2FC,adj. P-value,gene id,log2FC,adj. P-value
FOSL1,3.171136107,2.51179E-06,ORC1,-3.716315735,2.31021E-96
HLA-DQB1,3.134848803,1.72402E-60,GNB3,-3.703662247,2.13454E-09
PLEKHG1,3.102760654,3.6532E-09,XRCC2,-3.697626473,8.00066E-44
LMCD1,3.09377914,1.11482E-11,GINS2,-3.696465504,6.5062E-141
RGAG4,3.085540178,3.91951E-40,SGOL1,-3.689651673,6.50754E-36
ALDH3A1,3.058336498,0.009116906,BUB1B,-3.661356002,9.9597E-130
LCAT,3.056201281,8.59432E-17,C15orf42,-3.659043769,3.19756E-97
LRP1,3.029118958,4.58518E-21,PKMYT1,-3.648836541,2.02768E-62
SLC12A4,2.999280786,1.53929E-92,CDC25C,-3.64247016,5.33675E-47
BTG2,2.930905949,6.05099E-35,RAD54L,-3.640086981,6.57665E-79
TMEM40,2.930202004,9.12851E-14,HMGB2,-3.635075103,2.5731E-190
GSN,2.920949164,1.3746E-165,CDK1,-3.63493121,1.34161E-96
CATSPERG,2.918792896,4.08917E-12,NEK2,-3.604353596,6.87041E-42
SERPINA1,2.906485066,4.18103E-18,CDT1,-3.591478293,1.6964E-70
DPYSL4,2.895095816,4.14991E-05,CASC5,-3.579042791,6.9532E-143
GPR172B,2.882439983,3.04928E-25,TCF19,-3.573960807,2.81124E-97
CLIP4,2.879449293,7.33409E-15,NUSAP1,-3.571644189,3.7249E-122
SESN3,2.87078048,8.26843E-19,ANLN,-3.567344599,4.5173E-165
FAM196A,2.862083227,1.15679E-10,ORC6,-3.556093392,8.36251E-50
CALCOCO1,2.85691796,6.35712E-45,MCM2,-3.544244669,1.07497E-92
KLHDC7A,2.850318111,5.09647E-34,FAM54A,-3.541831331,5.17024E-30
PTAFR,2.848900163,5.48619E-06,CDC45,-3.530925027,1.5753E-120
DYRK1B,2.842665949,1.07422E-67,HJURP,-3.528898482,2.07846E-77
HES2,2.840919149,6.12729E-18,EME1,-3.525971251,7.67892E-32
