motifDb	geneSet	motif	NES	AUC	highlightedTFs	TFinDB	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
10kb	Stat6_top5perTarget	factorbook__STAT1	3.15	0.0593	Stat6	*	Stat1; Stat3 (inferredBy_Orthology).	Il21; Stat2; Stat4; Stat5a; Stat5b; Stat6 (inferredBy_MotifSimilarity).	40	2761	2310022B05Rik;4930523C07Rik;Abtb2;Anxa2;B2m;Bcl2a1b;Boc;C1qtnf6;Calb2;Ccl2;Ccl3;Ccl7;Ccr1;Cd14;Cdkn1a;Col27a1;Crh;Eif4ebp3;Fcgr1;Irak1;Irf1;Kcne4;Lama4;Lifr;Lyn;Mphosph9;Mrap2;Myh11;Net1;Nos3;P2ry13;Rell1;Shc1;Slc7a1;Stard8;Stat6;Tgfb3;Tlr7;Txnip;Ubl7
10kb	Stat6_top5perTarget	cisbp__M4548	3.11	0.0589	Stat6	*	Stat3 (inferredBy_Orthology).	Il21; Stat1; Stat2; Stat4; Stat5a; Stat5b; Stat6 (inferredBy_MotifSimilarity).	47	3462	2310022B05Rik;4930523C07Rik;Abtb2;Adhfe1;Anxa2;Bank1;Bcl2a1b;Boc;C1qtnf6;Calb2;Ccl2;Ccl7;Ccr1;Cd14;Cdkn1a;Clic1;Col27a1;Crh;Cyr61;Eif4ebp3;Elfn1;Fam110b;Fcgr1;Fzd7;Irak1;Irf1;Kcne4;Lama4;Lect1;Lyn;Mphosph9;Mrap2;Mro;Myh11;Net1;Nos3;P2ry13;Rell1;Rnase4;Slc7a1;Slc7a7;Stard8;Stat6;Tgfb3;Tlr7;Trib1;Tshz3
10kb	Stat6_top5perTarget	cisbp__M1955	3.06	0.0584	Stat6	*	Stat1 (inferredBy_Orthology).	Bcl6; Stat2; Stat3; Stat4; Stat5a; Stat5b; Stat6 (inferredBy_MotifSimilarity).	44	3549	2310022B05Rik;4930523C07Rik;Abtb2;Bcl2a1b;Boc;C1qtnf6;Calb2;Ccl2;Ccl3;Ccl7;Ccr1;Cd14;Cdkn1a;Clic1;Col27a1;Crh;Eif4ebp3;Elfn1;Fcgr1;Irak1;Irf1;Kcne4;Kctd8;Lama4;Lect1;Lifr;Lyn;Mphosph9;Mrap2;Net1;Nos3;P2ry13;Ptprb;Rell1;Shc1;Slc7a1;Slc7a7;Srgn;Stard8;Stat6;Tgfb3;Tlr7;Tshz3;Utrn
10kb	Stat6_top5perTarget	cisbp__M4634	3.06	0.0584	Stat6	*	Stat1 (inferredBy_Orthology).	Bcl6; Stat2; Stat3; Stat4; Stat5a; Stat5b; Stat6 (inferredBy_MotifSimilarity).	37	2604	4930523C07Rik;Abtb2;Bcl2a1b;Boc;C1qtnf6;Calb2;Ccl2;Ccl3;Ccl7;Cd14;Cdkn1a;Col27a1;Crh;Cyr61;Eif4ebp3;Elfn1;Fcgr1;Irak1;Irf1;Kcne4;Kctd8;Lama4;Lect1;Lyn;Mrap2;Mro;Net1;Nos3;P2ry13;Rell1;Shc1;Slc7a1;Stard8;Stat6;Tgfb3;Tlr7;Tshz3
10kb	Stat6_top5perTarget	jaspar__MA0137.3	3.06	0.0583	Stat6	*	Stat1 (inferredBy_Orthology).	Bcl6; Stat2; Stat3; Stat4; Stat5a; Stat5b; Stat6 (inferredBy_MotifSimilarity).	41	3011	2310022B05Rik;4930523C07Rik;Abtb2;Bcl2a1b;Boc;Calb2;Ccl2;Ccl3;Ccl7;Ccr1;Cd14;Cdkn1a;Clic1;Col27a1;Crh;Eif4ebp3;Elfn1;Fcgr1;Irak1;Irf1;Kcne4;Kctd8;Lama4;Lect1;Lifr;Lyn;Mrap2;Net1;Nos3;P2ry13;Rell1;Shc1;Slc7a1;Slc7a7;Srgn;Stard8;Stat6;Tgfb3;Tlr7;Tshz3;Utrn
10kb	Tef_top5perTarget	taipale_cyt_meth__TEF_NRTTAYGTAAYN_eDBD_meth	7.8	0.115	Tef	**	Tef (inferredBy_Orthology).	Atf2; Cebpb; Dbp; Hlf; Nfil3 (inferredBy_MotifSimilarity).Cebpd; Cebpe; Cebpg (inferredBy_MotifSimilarity_n_Orthology).	203	1910	9330159F19Rik;A830010M20Rik;A830018L16Rik;Abcb4;Ablim1;Acsl5;Adcy5;Add3;Adrb1;Akap1;Aldh1a1;Alk;Ank;Ankrd40;Ankrd50;Ankrd55;Arhgap6;Arhgef10l;Arl4c;Asph;Atg14;Atp2b2;Bai1;Bend4;Bsn;Cacna1i;Calb2;Camk1d;Capsl;Cask;Caskin1;Cdk5r1;Celf2;Cgrrf1;Chst10;Cirbp;Clasp1;Cntfr;Cntnap2;Col25a1;Crispld1;Crtac1;Cry2;Csnk2a2;Ctdspl;D17Wsu92e;Ddah1;Ddx42;Dennd4a;Deptor;Dlg2;Dlgap3;Dlx1;Dock3;Drp2;Ehd1;Epb4.1l4a;Epha5;Etl4;Etnk1;Exd2;Faim2;Fbxl16;Fbxl3;Fbxo11;Fgf13;Fgf14;Fhl1;Frem1;Fstl4;Fstl5;Gabbr2;Galnt14;Ggt7;Gm129;Gpr158;Gpr98;Grb10;Gria4;Hbegf;Hdac7;Hnrnph1;Hnrnpl;Hrh3;Il1rapl1;Inpp4a;Jph3;Kcna2;Kcnc1;Kcnj9;Krcc1;Ktn1;Lgi1;Lrrc4c;Lsamp;Map2k3;Map3k5;Mapk14;Mapre2;Mark3;Met;Mphosph9;Mtus2;Mum1l1;Mxra7;Myh9;Nfkbia;Npas3;Nptx1;Nrarp;Nrxn3;Nup205;Osbpl3;Osbpl6;P2ry1;Pacsin2;Pag1;Pak1;Paqr3;Paqr9;Pdp1;Pdxp;Per1;Per2;Per3;Phyhipl;Pik3r1;Pip5k1a;Pkib;Plcb1;Plcl2;Plekha6;Plekhh3;Prkcz;Psme4;Ptp4a1;Ptprd;Ptpro;Racgap1;Ralgps2;Rap1a;Rbm4b;Rcan1;Rcan2;Reln;Rgs16;Rhobtb2;Rnf44;Rph3a;Rqcd1;Scn8a;Sertad2;Sestd1;Setd7;Sgk1;Sgms1;Siah1a;Slc12a5;Slc36a1;Slit2;Slitrk2;Slitrk4;Smarca2;Socs5;Sparcl1;Spata2;Spred1;Spred2;Spry4;Ssfa2;Stx17;Synpo;Syt6;Taf2;Tef;Tex9;Tiam1;Tle3;Tmem175;Tmem47;Tmem57;Tnrc6b;Trib1;Trp53i11;Trpm3;Tspan7;Ttc30b;Ube2e3;Ubl3;Uggt2;Unc5c;Unc5d;Usp2;Utrn;Vac14;Vav3;Vgll4;Vps13a;Wdr82;Ythdf3;Zcchc8;Zfp703;Zfyve16
10kb	Tef_top5perTarget	transfac_public__M00228	7.54	0.113	Tef	**	Tef (directAnnotation).	Atf2; Dbp; Hlf (inferredBy_MotifSimilarity).Crebl2; Nfil3 (inferredBy_MotifSimilarity_n_Orthology).	229	2394	4930422G04Rik;9330159F19Rik;A830018L16Rik;Abcb4;Ablim1;Adarb2;Adcy5;Add3;Adrb1;AI854703;Akap1;Akr1b10;Akt2;Aldh1a1;Ank;Ank1;Ankrd27;Ankrd40;Ankrd50;Ankrd55;Arhgap18;Arhgap6;Arhgef10l;Arl4c;Atg7;Atp2b2;Atxn2l;Bai1;Bmi1;Boc;Brd2;Bsn;Btbd11;Cacna1i;Calb2;Camk1d;Capsl;Casc3;Cask;Caskin1;Ccnd1;Cdk5r1;Cited2;Clasp1;Cntfr;Cntnap2;Cntnap4;Col19a1;Col25a1;Crispld1;Crtac1;Ctdspl;D15Ertd621e;Dclk1;Ddah1;Ddr2;Ddx42;Dennd4a;Deptor;Dlg2;Dlgap3;Dlx1;Dock3;Dtna;Dyrk1a;Eaf1;Ehd1;Elmo1;Epha5;Erbb4;Etl4;Exd2;Faim2;Fam110b;Fbxl16;Fbxl3;Fbxo11;Fgf13;Fgf14;Fhl1;Fktn;Frem1;Fstl4;Fstl5;Gabra1;Galnt14;Gas2l1;Ggt7;Gm129;Gpr158;Gpr19;Gpr98;Grb10;Gria4;Hbegf;Hnrnph1;Hnrnpl;Hrh3;Hrk;Ier2;Igf1;Il1rapl1;Inpp4a;Itga3;Josd1;Jph3;Kcnc1;Kcnj9;Kctd16;Klhl24;Krcc1;Lifr;Lmo4;Lpar4;Lrrc4c;Map2k3;Mapk14;Mapre2;Med13;Met;Mphosph9;Mtus2;Myh9;Nab1;Nbr1;Ncam1;Nckap5;Nin;Npas3;Nptx1;Nrxn3;Osbpl3;Osbpl6;P2ry1;Pag1;Pak1;Paqr3;Paqr9;Pde7a;Pdp1;Pdxp;Per1;Per2;Per3;Phf17;Phyhipl;Pkib;Plcb1;Plekha6;Plekhf2;Plekhh3;Prkcz;Prr7;Psme4;Ptp4a1;Ptpro;Ptprs;Pvrl1;Rab9;Racgap1;Ralgps2;Rap1a;Rasl10a;Rcan2;Reln;Rgmb;Rgs16;Rgs8;Rhobtb2;Rnf144a;Rnf44;Robo1;Rph3a;Rpl34;Rqcd1;Samd4;Scml4;Scn8a;Sertad2;Sestd1;Setd7;Sgms1;Siah1a;Slamf9;Slc12a5;Slc1a2;Slc36a1;Slc7a1;Slit2;Smarca2;Socs5;Sorbs1;Sparcl1;Spata2;Spred1;Spred2;Spry4;Srsf1;Ssfa2;Sult4a1;Synpo;Syt6;Tef;Tiam1;Tmem175;Tmem47;Tmem57;Tmub2;Tnfaip3;Trib1;Trp53i11;Trpm3;Trpm7;Tspan7;Ttc30b;Tulp4;Txndc12;Ube2e3;Uggt2;Unc5c;Unc5d;Usp2;Vps13a;Vstm2l;Wdr82;Ythdf3;Zcchc8;Zfyve1;Zfyve16
10kb	Tef_top5perTarget	taipale_cyt_meth__DBP_NRTTAYGTAAYN_eDBD	7.43	0.112	Tef	*	Dbp (inferredBy_Orthology).	Atf2; Atf4; Cebpa; Cebpb; Creb1; Hlf; Nfil3; Tef (inferredBy_MotifSimilarity).Cebpd; Cebpe; Cebpg; Creb5; Crem; Jdp2 (inferredBy_MotifSimilarity_n_Orthology).	211	1936	4930422G04Rik;9330159F19Rik;A830010M20Rik;A830018L16Rik;Abcb4;Ablim1;Abr;Acsl5;Adarb2;Adcy5;Add3;Adrb1;Akap1;Aldh1a1;Ank;Ank1;Ankrd40;Ankrd50;Ankrd55;Arhgap6;Arhgef10l;Arl4c;Asph;Atg14;Atp2b2;Atxn2l;Bai1;Bsn;Cacna1i;Camk1d;Casc3;Cask;Caskin1;Cdk5r1;Celf2;Chst10;Cirbp;Clasp1;Cntfr;Cntnap2;Cntnap4;Col25a1;Crispld1;Crtac1;Cry2;Csnk2a2;Ctdspl;D15Ertd621e;D17Wsu92e;Ddah1;Ddx42;Dennd4a;Deptor;Dlg2;Dlgap3;Dlx1;Dock3;Ehd1;Elmo1;Epb4.1l4a;Epha5;Etl4;Etnk1;Exd2;Faim2;Fbxl16;Fbxl3;Fbxo11;Fgf13;Fgf14;Fhl1;Fktn;Frem1;Fstl4;Fstl5;Gabbr2;Gabra1;Gadd45g;Galnt14;Ggt7;Gm129;Gpr158;Gpr98;Grb10;Gria4;Hbegf;Hdac7;Hnrnph1;Hnrnpl;Hrh3;Hrk;Ier2;Il1rapl1;Inpp4a;Josd1;Jph3;Kcnc1;Kcnj9;Kctd16;Krcc1;Lgi1;Lifr;Lpar4;Lrrc4c;Manea;Map2k3;Mapre2;Mark3;Med13;Met;Mtus2;Mxra7;Myh9;Nbr1;Ncam1;Nfkbia;Nptx1;Nrarp;Nrxn3;Osbpl3;Osbpl6;P2ry1;Pacsin2;Pag1;Pak1;Paqr9;Pde7a;Pdp1;Pdxp;Per1;Per2;Per3;Phf17;Phyhipl;Pik3r1;Pkib;Plcb1;Plcl2;Plekha6;Plekhh3;Pold3;Prkcz;Prr7;Psme4;Ptp4a1;Ptprd;Racgap1;Rai1;Ralgps2;Rap1a;Rasa3;Rbm4b;Rcan2;Reln;Rgs16;Rgs8;Rhobtb2;Rnf144a;Rph3a;Rqcd1;Samd4;Scn8a;Serf1;Sertad2;Sestd1;Sgk1;Sgms1;Shisa9;Siah1a;Slc12a5;Slc36a1;Slc7a1;Slitrk2;Smarca2;Spata2;Spred1;Spred2;Spry4;Ssfa2;Stag2;Stx17;Sult4a1;Synpo;Syt6;Taf2;Tanc2;Tef;Tiam1;Tle3;Tmem175;Tmem47;Tmem57;Tnrc6b;Trib1;Trim9;Trp53i11;Tspan7;Tulp4;Txndc12;Ubash3b;Uggt2;Unc5c;Usp2;Vav3;Vgll4;Vps13a;Vps37b;Vstm2l;Wdr82;Zcchc8;Zfyve16
10kb	Tef_top5perTarget	taipale__TEF_DBD_NRTTACRTAAYN	7.42	0.112	Tef	**	Tef (inferredBy_Orthology).	Atf2; Cebpa; Cebpb; Dbp; Hlf; Nfil3 (inferredBy_MotifSimilarity).Cebpd; Cebpe; Cebpg (inferredBy_MotifSimilarity_n_Orthology).	155	1177	9330159F19Rik;A830010M20Rik;A830018L16Rik;Abcb4;Ablim1;Add3;Adrb1;Akap1;Aldh1a1;Ank;Ankrd40;Ankrd55;Arhgap6;Arhgef10l;Asph;Atp2b2;Bsn;Cacna1i;Calb2;Camk1d;Caskin1;Cdk5r1;Celf2;Cgrrf1;Clasp1;Cnst;Cntfr;Cntnap2;Col25a1;Crispld1;Csnk1g1;D17Wsu92e;Ddah1;Ddx42;Dennd4a;Deptor;Dlg2;Dlgap3;Dlx1;Dock3;Drp2;Ehd1;Epha5;Etl4;Etnk1;Exd2;Faim2;Fam110b;Fbxl16;Fbxl3;Fbxo11;Fgf13;Fgf14;Fhl1;Fktn;Frem1;Fstl4;Gabbr2;Galnt14;Ggt7;Gm129;Gpr158;Gpr98;Grb10;Gria4;Hbegf;Hnrnph1;Hnrnpl;Hrh3;Hrk;Il1rapl1;Inpp4a;Jph3;Kcnc1;Kcnj9;Kctd16;Krcc1;Lgi1;Lifr;Lrrc4c;Map2k3;Mapre2;Mark3;Met;Mphosph9;Mtus2;Mxra7;Nbr1;Nptx1;Nrxn3;Nup205;Osbpl6;P2ry1;Pag1;Pak1;Paqr3;Paqr9;Pdp1;Pdxp;Per1;Per2;Per3;Phyhipl;Pik3r1;Pkib;Plcb1;Plcl2;Prkcz;Psme4;Ptprd;Racgap1;Ralgps2;Rap1a;Rcan1;Rcan2;Rgs16;Rhobtb2;Rph3a;Rqcd1;Samd4;Scn8a;Sertad2;Sestd1;Sgk1;Sgms1;Slc12a5;Slc36a1;Slit2;Slitrk4;Smarca2;Spata2;Spred1;Spred2;Spry4;Ssfa2;Synpo;Syt6;Taf2;Tef;Tmem175;Tmem57;Tnfaip3;Tnrc6b;Trib1;Trp53i11;Ttc30b;Ubl3;Unc5c;Unc5d;Usp2;Vac14;Wdr82;Ythdf3;Zcchc8;Zfyve16
10kb	Tef_top5perTarget	transfac_pro__M07683	7.42	0.112	Tef	**	Dbp; Hlf; Tef (inferredBy_Orthology).	Atf2; Cebpa; Cebpb; Cebpg; Nfil3 (inferredBy_MotifSimilarity).Cebpd; Cebpe; Ep300 (inferredBy_MotifSimilarity_n_Orthology).	196	1588	4930422G04Rik;9330159F19Rik;A830010M20Rik;A830018L16Rik;Abcb4;Ablim1;Abr;Acsl5;Adamts17;Add3;Adrb1;Akap1;Aldh1a1;Ank;Ank1;Ankrd50;Ankrd55;Arhgap6;Arhgef10l;Arl4c;Asph;Atg14;Atg7;Atp2b2;Bend4;Bmi1;Brd2;Bsn;Cacna1i;Camk1d;Cask;Caskin1;Ccnd1;Cdk5r1;Chst10;Cirbp;Clasp1;Cntfr;Crispld1;Crtac1;Cry2;Csnk2a2;Ctdspl;D17Wsu92e;Ddr2;Ddx42;Dennd4a;Deptor;Dlg2;Dlgap3;Dlx1;Dock3;Ehd1;Elmo1;Epb4.1l4a;Epha5;Etl4;Etnk1;Faim2;Fbxl16;Fbxl3;Fbxo11;Fgf13;Fgf14;Fhl1;Fktn;Frem1;Fstl4;Fstl5;Gabbr2;Gabra1;Gadd45g;Galnt14;Ggt7;Gm129;Gpr158;Gpr98;Grb10;Gria4;Hbegf;Hnrnph1;Hnrnpl;Hrh3;Hrk;Il1rapl1;Inpp4a;Josd1;Jph3;Kcna2;Kcnc1;Kctd16;Krcc1;Lgi1;Lifr;Lrrc4c;Lsamp;Mapk14;Mapre2;Mark3;Med13;Met;Mphosph9;Mtus2;Nbr1;Nptx1;Nrarp;Nrxn3;Nup205;Osbpl6;P2ry1;Pag1;Pak1;Paqr3;Paqr9;Pdp1;Pdxp;Per1;Per2;Per3;Phf17;Phyhipl;Pik3r1;Pip5k1a;Pkib;Plcb1;Plcl2;Plekhh3;Pold3;Prkcz;Prr7;Psme4;Ptp4a1;Ptprd;Ptpro;Ptprs;Rab9;Ralgps2;Rap1a;Rasa3;Rcan1;Rcan2;Rcbtb2;Reep5;Reln;Rhobtb2;Rph3a;Rqcd1;Samd4;Scn8a;Serf1;Sertad2;Sestd1;Sgk1;Sgms1;Slc12a5;Slc36a1;Slc7a1;Slit2;Smarca2;Spata2;Spred1;Spred2;Spry4;Srsf1;Ssfa2;Stag2;Sult4a1;Synpo;Syt6;Tanc2;Tef;Tiam1;Tmem175;Tmem47;Tmem57;Tnfaip3;Tnrc6b;Trib1;Trp53i11;Ttc30b;Ubash3b;Ube2e3;Ube2v2;Ubl3;Uggt2;Unc5c;Usp2;Utp14b;Vgll4;Vps13a;Vps37b;Wdr82;Ythdf3;Zcchc8;Zfp593;Zfyve16
