motifDb	geneSet	motif	NES	AUC	highlightedTFs	TFinDB	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
10kb	Dlx5_top5perTarget	transfac_pro__M01388	3.92	0.0827	Dlx5	**	Dlx5 (directAnnotation).	Hoxd3 (inferredBy_MotifSimilarity).Nkx1-1; Nkx1-2; Vsx1 (inferredBy_MotifSimilarity_n_Orthology).	34	297	2610203C20Rik;Adamts17;AI854703;Arhgef10l;Bahcc1;Cirbp;Cplx1;Dlx1;Gad1;Gadd45gip1;Hexim2;Igf1;Iglon5;Ltbp3;Myt1;Npas1;Nxph1;Peli2;Plekha6;Prkab1;Ptchd2;Racgap1;Rgs8;Robo1;Rpl34;Sema3c;Shisa9;Slc12a5;Slc39a6;Spns2;Stox2;Syt6;Unc5d;Wnt5a
10kb	Dlx5_top5perTarget	cisbp__M1996	3.06	0.0737	Dlx5	*	Dlx1; Dlx4; Dlx6 (inferredBy_Orthology).	Dlx2; Hoxa5; Hoxa6; Hoxd3 (inferredBy_MotifSimilarity).Dlx3; Dlx5 (inferredBy_MotifSimilarity_n_Orthology).	212	4269	2610203C20Rik;A830010M20Rik;Abcg2;Ablim1;Ache;Adamts17;Adarb2;Adcyap1r1;Add3;AI854703;Akr1b10;Alk;Ank1;Ankrd27;Ankrd40;Ankrd50;Ankrd55;Arhgap6;Arhgef10l;Arhgef12;Bahcc1;Bend4;Boc;Brd2;Btbd11;C1qtnf1;Cabp1;Cacna1i;Calb2;Camk2d;Cbln2;Cd83;Cirbp;Cited2;Clasp1;Cntfr;Cntn5;Cntnap2;Cntnap4;Col19a1;Col25a1;Cplx1;Crabp1;Crh;Crispld1;Crtac1;Csdc2;Ctnnbip1;Cyp46a1;Dclk1;Ddah1;Dlg2;Dlgap3;Dlx1;Dlx5;Dock3;Dpysl5;Dyrk1a;Egfr;Elmo1;Emid1;Enho;Epb4.1l4a;Epha5;Erbb4;Etl4;Eya1;Faim2;Fam163a;Fgf1;Fgf14;Fgf9;Fhl1;Frem1;Fstl4;Fstl5;Fzd1;Gabbr2;Gabrg1;Gad1;Gad2;Gadd45gip1;Galnt14;Gas2l1;Gdf10;Gpr158;Grb10;Gria4;Grik1;Hapln1;Hexim2;Htr3b;Igf1;Iglon5;Il1b;Itga3;Jph3;Kcnmb2;Kctd16;Kctd8;Klhdc8b;Klhl24;Krt73;Lancl3;Lrrc4c;Lsamp;Ltbp3;Map2k3;Mapk14;Mapre2;Mphosph9;Mrap2;Mtss1;Mtus2;Mum1l1;Mxra7;Myt1;Nacc2;Nbr1;Npas1;Npas3;Npat;Nrtn;Nrxn3;Nt5dc2;Ntn1;Nxph1;Osbpl3;P2ry1;Pak1;Pde7a;Pdp1;Peli2;Per2;Pgpep1;Phyhipl;Plcl2;Plekha6;Ppp2r1b;Prkab1;Ptchd2;Ptprs;Pvrl2;Racgap1;Ralgps2;Rcan1;Reep5;Rimkla;Rimklb;Rpl34;Rwdd3;Samd4;Scml4;Scn9a;Sema3c;Sema6c;Sertad2;Setd7;Sgk1;Sgms1;Sh3pxd2b;Shd;Shisa9;Slc12a5;Slc12a6;Slc1a2;Slc35f4;Slc36a1;Slc39a6;Slc6a1;Slc7a1;Slitrk4;Sln;Smarca2;Sncaip;Snx18;Socs5;Spa17;Spns2;Spred1;Spry4;Src;Srsf1;St8sia4;Stox2;Stx17;Syt6;Tac2;Tapt1;Tef;Tex9;Thbs1;Tjp1;Tle2;Tmem108;Tmtc2;Tmub2;Tnfaip8l3;Trp53i11;Trpm3;Trpm7;Tshz3;Ubash3b;Unc5c;Unc5d;Utrn;Vac14;Vav3;Vstm2l;Wif1;Wnt5a;Wnt7a
10kb	Irf1_top5perTarget	hocomoco__STAT2_HUMAN.H11MO.0.A	4.06	0.0728	Irf1	*	Stat2 (inferredBy_Orthology).	Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9 (inferredBy_MotifSimilarity).Stat1 (inferredBy_MotifSimilarity_n_Orthology).	18	313	Ahdc1;B2m;Gadd45b;Irf1;Kcne4;Kcnj16;Mdk;Midn;Parp12;Plekha6;Rhobtb2;Sepp1;Slc7a7;Srgn;St5;Tapbp;Tgfb3;Trib1
10kb	Irf1_top5perTarget	transfac_pro__M00699	4	0.0721	Irf1	*	Irf8 (directAnnotation).	Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7 (inferredBy_MotifSimilarity).Irf9; Stat1; Stat2; Tbl1xr1 (inferredBy_MotifSimilarity_n_Orthology).	17	294	4930523C07Rik;Ahdc1;Bank1;Fcgr1;Gabrb1;Gja1;Kcnj2;Lhfp;Med13;Osbpl6;Rai1;Sertad2;Slc7a7;Slitrk2;Tapbp;Tbxas1;Tlr7
10kb	Irf1_top5perTarget	tfdimers__MD00138	3.64	0.0683	Irf1	**	Irf1; Irf2; Irf3; Irf4; Irf5; Irf7; Irf8; Irf9; Myb (inferredBy_Orthology).		18	392	Acsl5;Ahdc1;Capsl;Ccnd1;Egfr;H2-K1;Kcnj16;Lhfp;Mdk;Plekha6;Slc4a4;Slc7a7;St3gal6;Tnfaip3;Trpm7;Txnip;Usp2;Zfp703
10kb	Irf1_top5perTarget	transfac_pro__M07045	3.29	0.0646	Irf1	**	Irf1 (directAnnotation).	Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9; Prdm1 (inferredBy_MotifSimilarity).Stat1; Stat2 (inferredBy_MotifSimilarity_n_Orthology).	77	3202	4930523C07Rik;Acsl5;Adrb1;Ahdc1;Ahnak;Akap1;Anxa2;Arhgap31;Arhgef10l;Atg14;B2m;Bank1;Bcl2a1b;Cald1;Capsl;Ccl7;Ccnd1;Ccnd3;Cd163;Cited2;Ctgf;Ddr2;Egfr;Ehd1;Fcer1g;Fcgr1;Fgf14;Fyb;Gabrb1;Gadd45g;Gja1;Hfe;Il6ra;Irf1;Itgb5;Kcne4;Kcnj16;Kcnj2;Laptm5;Lhfp;Map3k5;Mdk;Med13;Midn;Mr1;Myh9;Nin;Nptx1;Osbpl6;P2ry13;Plekha6;Prkab1;Rgs5;Rhobtb2;Rnase4;Sepp1;Sertad2;Slamf9;Slc4a4;Slc7a7;Slco5a1;Slitrk2;Soat1;Srgn;St3gal6;Stard8;Stat6;Tapbp;Tbxas1;Tgfa;Tgfb3;Tnfaip3;Trib1;Trpm7;Txnip;Vgll4;Vps37b
10kb	Irf1_top5perTarget	taipale_cyt_meth__IRF2_YGAAASYGAAAS_FL_meth	3.17	0.0632	Irf1	*	Irf2 (inferredBy_Orthology).	Irf1; Irf3; Irf4; Irf5; Irf7; Irf8; Irf9 (inferredBy_MotifSimilarity).	14	271	Acsl5;Ahdc1;Ccnd1;Cited2;Ctnnd1;Gabrb1;H2-K1;Irf1;Kcne4;Mdk;Osbpl6;Plekha6;Slitrk2;Tapbp
10kb	Irf1_top5perTarget	dbcorrdb__IRF1__ENCSR000EGU_1__m1	3.08	0.0623	Irf1	**	Irf1 (inferredBy_Orthology).	Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9; Prdm1; Spi1; Spib (inferredBy_MotifSimilarity).Bcl11a; Ep300; Ikzf1; Mta3; Stat1; Stat2; Stat3; Tbl1xr1 (inferredBy_MotifSimilarity_n_Orthology).	85	3895	4930523C07Rik;Acsl5;Adrb1;Ahdc1;Akap1;Anxa2;Arhgef10l;Arhgef19;Atg14;B2m;Bcl2a1b;Cald1;Capsl;Ccl2;Ccl3;Ccnd1;Ccnd3;Cd163;Cd48;Cited2;Cmtm6;Ctnnd1;Ctss;Ddr2;E130114P18Rik;Egfr;Ehd1;Esam;Fcer1g;Fcgr1;Fgf14;Fstl4;Fyb;Gabrb1;Gja1;Gpr34;Gramd3;H2-K1;Hfe;Irf1;Kcne4;Kcnj16;Kcnj2;Lhfp;Map3k5;Mdk;Med13;Ms4a7;Msr1;Nin;Osbpl6;P2ry13;Parp12;Peli2;Plcl2;Plekha6;Prkab1;Rab3il1;Rhobtb2;Rnase4;Sertad2;Sgk3;Slc4a4;Slc7a7;Slco5a1;Slitrk2;Soat1;Srgn;St3gal6;St5;St8sia4;Stard8;Stat6;Stk17b;Tapbp;Tbxas1;Tgfb3;Tmem100;Tnfaip8;Trib1;Txnip;Usp2;Vgll4;Vps37b;Zfp36l2
10kb	Irf1_top5perTarget	transfac_pro__M08887	3.07	0.0622	Irf1	**	Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9 (directAnnotation).	Prdm1; Stat1; Stat2 (inferredBy_MotifSimilarity_n_Orthology).	56	1942	4930523C07Rik;Adrb1;Ahdc1;Akap1;Anxa2;Bank1;Bcl2a1b;Cald1;Ccl7;Ccnd1;Cited2;Cmtm6;Ctnnd1;Egfr;Ehd1;Fgf14;Fyb;Gabrb1;Gadd45g;Gja1;Hfe;Il6ra;Irf1;Itgb5;Kcnj16;Kcnj2;Lhfp;Map3k5;Mdk;Med13;Mr1;Nin;Nptx1;Osbpl6;Plekha6;Prkab1;Rgs5;Rhobtb2;Rnase4;Sepp1;Sertad2;Slc4a4;Slc7a7;Slco5a1;Slitrk2;St3gal6;Stard8;Stat6;Tapbp;Tbxas1;Tgfa;Tnfaip3;Tnfaip8;Txnip;Vgll4;Vps37b
10kb	Irf1_top5perTarget	dbcorrdb__STAT1__ENCSR000FAU_1__m1	3.04	0.0619	Irf1	*	Stat1 (inferredBy_Orthology).	Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9 (inferredBy_MotifSimilarity).Ep300; Ikzf1; Prdm1; Spi1; Stat2; Stat3; Tbl1xr1 (inferredBy_MotifSimilarity_n_Orthology).	39	1039	Ahdc1;Akap1;Bcl2a1b;Cacna1i;Ccl3;Ccnd1;Ccnd3;Cited2;Fyb;Gabrb1;Gadd45b;Gja1;H2-K1;Hfe;Irf1;Kcne4;Kcnj16;Kcnj2;Lhfp;Map3k5;Mdk;Med13;Mr1;Nin;Osbpl6;Plekha6;Rhobtb2;Sertad2;Slitrk2;Srgn;St3gal6;St5;Stard8;Stat6;Tapbp;Tgfb3;Txnip;Vgll4;Vps37b
10kb	Irf1_top5perTarget	dbcorrdb__IRF1__ENCSR000EGL_1__m1	3.02	0.0617	Irf1	**	Irf1 (inferredBy_Orthology).	Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9; Prdm1; Spib (inferredBy_MotifSimilarity).Bcl11a; Ep300; Ikzf1; Mta3; Spi1; Stat1; Stat2; Stat3; Tbl1xr1 (inferredBy_MotifSimilarity_n_Orthology).	41	1165	4930523C07Rik;Acsl5;Ahdc1;Akap1;Atg14;B2m;Capsl;Ccnd1;Cd163;Cited2;Ctnnd1;Fcgr1;Fyb;Gadd45g;Gja1;Gramd3;H2-K1;Irf1;Kcne4;Kcnj16;Kcnj2;Lhfp;Map3k5;Mdk;Med13;Osbpl6;Parp12;Plekha6;Rhobtb2;Sertad2;Slc4a4;Slc7a7;Slitrk2;Srgn;Stard8;Stat6;Tapbp;Tgfb3;Trib1;Txnip;Vps37b
10kb	Sox10_top5perTarget	transfac_pro__M08838	4.94	0.107	Sox10	*	Sox9 (directAnnotation).	Sox10 (inferredBy_MotifSimilarity).Sox8 (inferredBy_MotifSimilarity_n_Orthology).	77	3364	2310022B05Rik;Abtb2;Adamts20;Adipor2;Amotl2;Apln;Apod;Arhgap23;Arhgap31;Arhgef19;Arrdc3;Bag3;Cadm4;Caskin2;Cd164;Cdc42ep1;Col27a1;Col9a3;Csrp1;Ddr1;Ehd1;Elmo1;Erbb4;Fgfr2;Fgfrl1;Fhdc1;Fryl;Gjc3;Gpr98;Jup;Kcnj2;Lama2;Lama4;Ldlrad3;Lect1;Leprot;Lhfpl2;Limd1;Lrp4;Mid1ip1;Myh11;Myo6;Nab1;Ndp;Neo1;Nos3;P2ry1;Pacsin2;Padi2;Plekhb1;Plxnb1;Ptp4a1;Ralgds;Rap1a;Rapgef3;Rasl12;Rgs16;Rin2;Rlbp1;S100b;Scrg1;Sema3d;Sema6d;Sepp1;Sgk1;Sgk3;Slc45a3;Slc6a9;Socs3;Sox10;Sox8;St18;St3gal6;Stard13;Stox2;Tgfa;Ubl3
10kb	Sox10_top5perTarget	taipale_cyt_meth__SOX8_ACAATNNNNNNATTGT_FL	4.84	0.106	Sox10	*	Sox8 (inferredBy_Orthology).	Sox9 (inferredBy_MotifSimilarity).Sox10 (inferredBy_MotifSimilarity_n_Orthology).	61	2061	2310022B05Rik;Adamts20;Adcy5;Amotl2;Arhgef19;Arrdc3;Btf3;Cadm4;Cdc42ep1;Col9a3;Cyr61;Daam2;Ddr1;Elmo1;Epb4.1l4a;Erbb4;Fancf;Fermt2;Fgfr2;Fhdc1;Fryl;Gjc3;Gpr98;Kcnj2;Lama4;Leprot;Lrp4;Myh11;Nab1;Ndp;Neo1;P2ry1;P2ry12;Pacsin2;Padi2;Plekhb1;Plxnb1;Ptp4a1;Ptprd;Rab33b;Ralgds;Rap1a;Rassf4;Rhoc;Rin2;Rlbp1;S100b;Scrg1;Sema3d;Sgk1;Sgk3;Slc45a3;Socs3;Sox10;Sox8;St18;Stag2;Stox2;Stx17;Tulp4;Zfp593
10kb	Sox10_top5perTarget	hocomoco__SOX9_HUMAN.H11MO.0.B	4.75	0.104	Sox10	*	Sox9 (inferredBy_Orthology).	Sox10; Sox2; Sox4 (inferredBy_MotifSimilarity).Sox8 (inferredBy_MotifSimilarity_n_Orthology).	78	2872	2310022B05Rik;Abtb2;Adamts20;Adcy5;Adipor2;Aldh1a1;Amotl2;Apln;Arhgap23;Arhgef19;Arrdc3;Bag3;Cadm4;Caskin2;Cdc42ep1;Cdkn1a;Cdr2;Col27a1;Col9a3;Csrp1;Cyp2j9;Cyr61;Daam2;Ddr1;Ehd1;Elmo1;Fermt2;Fgfr2;Fgfrl1;Fhdc1;Fryl;Gpr98;Jup;Kcnj2;Lama4;Lect1;Lhfpl2;Limd1;Lrp4;Mid1ip1;Myh11;Myo1e;Myo6;Nab1;Ndp;Neo1;Nos3;Npat;P2ry1;Pacsin2;Padi2;Phlpp1;Plekhb1;Plxnb1;Ptp4a1;Ptprd;Ralgds;Rap1a;Rasl12;Rassf4;Rgs16;Rin2;Rlbp1;S100b;Scrg1;Sema3d;Sema6d;Sgk1;Sgk3;Slc22a5;Slc45a3;Slc6a9;Socs3;Sox8;St18;Stard13;Stox2;Tgfa
10kb	Sox10_top5perTarget	homer__YCTTTGTTCC_Sox4	4.69	0.103	Sox10	*	Sox4 (directAnnotation).	Sox10 (inferredBy_MotifSimilarity).Sox2; Sox3 (inferredBy_MotifSimilarity_n_Orthology).	33	1020	Apln;BC028528;Cadm4;Cdc42ep1;Col27a1;Ddr1;Erbb4;Fgfr2;Fhdc1;Gpr98;Jup;Myo1e;Pacsin2;Padi2;Plk3;Plxnb1;Prkd3;Ptp4a1;Ralgds;Rap1a;Rassf4;Rgs16;Rlbp1;Sema3d;Sema6d;Sepp1;Sgk1;Sgk3;Slc45a3;Socs3;Sox10;Sox8;St18
10kb	Sox10_top5perTarget	taipale_cyt_meth__SOX8_ACAATNNNNNNATTGT_FL_meth	4.56	0.102	Sox10	*	Sox8 (inferredBy_Orthology).	Sox9 (inferredBy_MotifSimilarity).Sox10 (inferredBy_MotifSimilarity_n_Orthology).	71	2805	2310022B05Rik;Adamts20;Adcy5;Amotl2;Apln;Arhgef19;Arrdc3;Btf3;Cadm4;Cdc42ep1;Col9a3;Cyr61;Daam2;Ddr1;Elmo1;Epb4.1l4a;Erbb4;Fancf;Fermt2;Fgfr2;Fhdc1;Fryl;Gjc3;Gpr98;Jup;Kcnj2;Lama2;Lama4;Ldlrad3;Leprot;Lhfpl2;Limd1;Lrp4;Myh11;Nab1;Ndp;Neo1;Npat;P2ry1;P2ry12;Pacsin2;Padi2;Plekhb1;Plxnb1;Ptp4a1;Ptprd;Rab33b;Ralgds;Rap1a;Rassf4;Rcan2;Rhoc;Rin2;Rlbp1;S100b;Scrg1;Sema3d;Sgk1;Sgk3;Slc45a3;Snx18;Socs3;Sox10;Sox8;St18;Stag2;Stx17;Tmem38b;Tulp4;Ubl3;Zfp593
10kb	Sox10_top5perTarget	hocomoco__SOX10_HUMAN.H11MO.0.B	4.16	0.0958	Sox10	**	Sox10 (inferredBy_Orthology).	Sox9 (inferredBy_MotifSimilarity).	72	3275	2310022B05Rik;4930422G04Rik;Abtb2;Adamts20;Adipor2;Amotl2;Apln;Arrdc3;Btf3;Caskin2;Cdc14a;Cdc42ep1;Cdkn1a;Cdr2;Col9a3;Csrp1;Ddr1;Efnb3;Ehd1;Elmo1;Epb4.1l4a;Fermt2;Fgfr2;Fgfrl1;Fhdc1;Fryl;Gjc3;Gpr98;Jup;Kcnj2;Lama4;Lect1;Leprot;Lhfpl2;Limd1;Mid1ip1;Myh11;Myo6;Nab1;Ndp;Neo1;Pacsin2;Padi2;Plekhb1;Plxnb1;Ptp4a1;Ptprd;Rab33b;Rap1a;Rapgef3;Rasl12;Rassf4;Rgs16;Rin2;Rlbp1;S100b;Scrg1;Sema3d;Sema6d;Sgk1;Sgk3;Slc22a5;Slc45a3;Slc6a9;Socs3;Sox8;St18;Stag2;Stard13;Stox2;Tulp4;Ubl3
10kb	Sox10_top5perTarget	taipale_cyt_meth__SOX10_AACAATNNNNNNATTGTT_FL_meth	3.56	0.0872	Sox10	**	Sox10 (inferredBy_Orthology).	Sox9 (inferredBy_MotifSimilarity).Sox8 (inferredBy_MotifSimilarity_n_Orthology).	62	2562	2310022B05Rik;Adcy5;Amotl2;Arrdc3;Btf3;Cadm4;Cdc42ep1;Col9a3;Cyr61;Daam2;Ddr1;Elmo1;Epb4.1l4a;Fancf;Fermt2;Fgfr2;Fhdc1;Fryl;Gjc3;Gpr98;Kcnj2;Lama4;Leprot;Limd1;Lrp4;Myh11;Nab1;Ndp;Neo1;Nos3;Npat;P2ry1;P2ry12;Pacsin2;Padi2;Plekhb1;Plxnb1;Ptp4a1;Ptprd;Rab33b;Ralgds;Rap1a;Rgs16;Rhoc;Rin2;Rlbp1;S100b;Scrg1;Sema3d;Sgk1;Sgk3;Slc45a3;Socs3;Sox10;Sox8;St18;Stag2;Stard13;Stx17;Tmem38b;Tulp4;Zfp593
10kb	Sox10_top5perTarget	taipale_cyt_meth__SOX10_AACAATNNNNNNATTGTT_FL_repr	3.53	0.0868	Sox10	**	Sox10 (inferredBy_Orthology).	Sox9 (inferredBy_MotifSimilarity).Sox8 (inferredBy_MotifSimilarity_n_Orthology).	57	2100	2310022B05Rik;Adcy5;Amotl2;Arrdc3;Btf3;Cadm4;Cdc42ep1;Col9a3;Cyr61;Daam2;Ddr1;Elmo1;Epb4.1l4a;Fancf;Fermt2;Fgfr2;Fhdc1;Fryl;Gjc3;Gpr98;Kcnj2;Lama4;Leprot;Limd1;Myh11;Nab1;Ndp;Neo1;Npat;P2ry1;P2ry12;Pacsin2;Padi2;Plekhb1;Plxnb1;Ptp4a1;Ptprd;Rab33b;Ralgds;Rap1a;Rhoc;Rlbp1;S100b;Scrg1;Sema3d;Sgk1;Sgk3;Slc45a3;Socs3;Sox10;Sox8;St18;Stard13;Stx17;Tmem38b;Tulp4;Zfp593
10kb	Sox10_top5perTarget	jaspar__MA0515.1	3.33	0.0839	Sox10	*	Sox6 (directAnnotation).	Smad1; Sox10; Sox3; Sox4 (inferredBy_MotifSimilarity).Nanog; Sox14; Sox2; Sox21; Sox9 (inferredBy_MotifSimilarity_n_Orthology).	49	2033	Adipor2;Amotl2;Apln;Arhgap23;Arhgef19;Arrdc3;BC028528;Cadm4;Caskin2;Cdc42ep1;Cdkn1a;Col27a1;Cyr61;Daam2;Ddr1;Dusp10;Endod1;Fermt2;Fgfr2;Fhdc1;Gpr98;Gpx8;Jup;Krcc1;Myo1e;Nab1;Ndp;Neo1;P2ry1;Pacsin2;Phlpp1;Plk3;Plxnb1;Prkd3;Ptp4a1;Ralgds;Rassf4;Rgs16;Rlbp1;Sema3d;Sema6d;Sepp1;Sgk3;Slc45a3;Socs3;Sox8;St18;Stard13;Stx17
10kb	Sox10_top5perTarget	cisbp__M2313	3.32	0.0838	Sox10	*	Sox6 (directAnnotation).	Smad1; Sox10; Sox3; Sox4 (inferredBy_MotifSimilarity).Nanog; Sox14; Sox2; Sox21; Sox9 (inferredBy_MotifSimilarity_n_Orthology).	47	1900	Adipor2;Amotl2;Apln;Arhgap23;Arhgef19;Arrdc3;BC028528;Cadm4;Caskin2;Cdc42ep1;Cdkn1a;Col27a1;Cyr61;Daam2;Ddr1;Dusp10;Endod1;Fgfr2;Fgfrl1;Fhdc1;Gpr98;Gpx8;Jup;Krcc1;Myo1e;Nab1;Ndp;Neo1;P2ry1;Pacsin2;Phlpp1;Plk3;Plxnb1;Prkd3;Ptp4a1;Ralgds;Rassf4;Rlbp1;Sema6d;Sepp1;Sgk3;Slc45a3;Socs3;Sox8;St18;Stard13;Stx17
10kb	Sox10_top5perTarget	factorbook__SOX2	3.11	0.0808	Sox10	*	Sox2 (inferredBy_Orthology).	Nanog; Sox10; Sox17; Sox3; Sox4; Sox6; Sox9 (inferredBy_MotifSimilarity).	46	2144	Adamts20;Amotl2;Apln;Arrdc3;BC028528;Cadm4;Cdc42ep1;Col27a1;Ddr1;Endod1;Erbb4;Fancf;Fgfr2;Fhdc1;Gpr98;Jup;Kcnj2;Krcc1;Myo1e;Ndp;Neo1;Pacsin2;Padi2;Phlpp1;Plk3;Plxnb1;Prkd3;Ptp4a1;Ptprd;Ralgds;Rap1a;Rassf4;Rgs16;Rlbp1;Scrg1;Sema3d;Sema6d;Sepp1;Sgk3;Slc45a3;Socs3;Sox8;St18;Stard13;Stox2;Tulp4
10kb	Sox8_top5perTarget	hocomoco__SOX9_HUMAN.H11MO.0.B	4.31	0.0933	Sox8	*	Sox9 (inferredBy_Orthology).	Sox10; Sox2; Sox4 (inferredBy_MotifSimilarity).Sox8 (inferredBy_MotifSimilarity_n_Orthology).	116	3309	2310022B05Rik;4930523C07Rik;Abtb2;Adamts20;Adipor2;Ahnak;Akap1;Amotl2;Ankrd27;Antxr1;Apln;Arhgap23;Arrdc3;Atg14;Bag3;Bmper;Btf3;C1qtnf1;Cald1;Caskin2;Cd24a;Cdc42ep1;Chrdl1;Cnn3;Col27a1;Col9a3;Crispld1;Csrp1;Ctgf;Ctnnbip1;Daam2;Ddr1;Dennd4a;Dhrs4;Dusp10;Efnb3;Eya1;Fbxl3;Fermt2;Fgf1;Fgfr2;Fgfrl1;Fhdc1;Fktn;Fryl;Gadd45g;Hbegf;Il33;Jup;Kcne4;Kcnj2;Leprot;Lhfpl2;Limd1;Lpar4;Maml2;Med13;Mid1ip1;Mtss1;Myh11;Myo6;Nab1;Nacc2;Ndp;Nedd9;Neo1;Notch2;Npat;Oat;Pacsin2;Padi2;Pag1;Paqr4;Pde7a;Pdgfrb;Phlpp1;Phyhipl;Pik3r1;Plekhb1;Plxnb1;Ppp2r1b;Ptprb;Ptprd;Pvrl1;Rab9;Rai1;Ralgds;Rap1a;Rasl12;Rassf4;Rcbtb2;Rin2;S100b;Samd4;Scml4;Sema6d;Sgk3;Sh3pxd2b;Shisa9;Slc22a5;Slc45a3;Slc6a9;Sox8;Spa17;Spns2;St18;St5;Stag2;Stat6;Tgfa;Tmem100;Tshz1;Ttc30b;Ubl7;Vgll4;Vps37b
10kb	Sox8_top5perTarget	taipale_cyt_meth__SOX8_ACAATNNNNNNATTGT_FL	3.47	0.0832	Sox8	**	Sox8 (inferredBy_Orthology).	Sox9 (inferredBy_MotifSimilarity).Sox10 (inferredBy_MotifSimilarity_n_Orthology).	76	1943	2310022B05Rik;Adamts20;Akap1;Amotl2;Arrdc3;Atg14;Btf3;Cdc42ep1;Cnn3;Col9a3;Ctgf;Ctnnbip1;Daam2;Ddr1;Epb4.1l4a;Erbb4;Eya1;Fbxl3;Fermt2;Fgf1;Fgfr2;Fhdc1;Fktn;Frmd4a;Fryl;Gadd45g;Gjc3;Hbegf;Kcnj2;Leprot;Maml2;Mtss1;Myh11;Nab1;Ndp;Nedd9;Neo1;Notch2;P2ry12;Pacsin2;Padi2;Pag1;Paqr4;Pdgfrb;Pik3r1;Plekhb1;Plxnb1;Ppp2r1b;Prkcz;Ptprb;Ptprd;Rab33b;Rai1;Ralgds;Rap1a;Rassf4;Rcbtb2;Rhoc;Rin2;S100b;Samd4;Scml4;Scn9a;Sgk3;Slc45a3;Sox10;Sox8;Spata2;Spry4;St18;St5;Synpo;Tmem100;Tshz1;Tulp4;Vps37b
10kb	Sox8_top5perTarget	taipale_cyt_meth__SOX8_ACAATNNNNNNATTGT_FL_meth	3.14	0.0792	Sox8	**	Sox8 (inferredBy_Orthology).	Sox9 (inferredBy_MotifSimilarity).Sox10 (inferredBy_MotifSimilarity_n_Orthology).	96	2830	2310022B05Rik;Adamts20;Akap1;Amotl2;Ankrd27;Antxr1;Apln;Arrdc3;Atg14;Btf3;C1qtnf1;Cdc42ep1;Cnn3;Col9a3;Crispld1;Ctgf;Ctnnbip1;Daam2;Ddr1;Dhrs4;Enkur;Epb4.1l4a;Erbb4;Eya1;Fbxl3;Fermt2;Fgf1;Fgfr2;Fhdc1;Fktn;Frmd4a;Fryl;Gadd45g;Gjc3;Hbegf;Il33;Jup;Kcnj2;Ldlrad3;Leprot;Lhfpl2;Limd1;Maml2;Myh11;Nab1;Nacc2;Ndp;Nedd9;Neo1;Notch2;Npat;P2ry12;Pacsin2;Padi2;Pag1;Paqr4;Pdgfrb;Pik3r1;Plekhb1;Plxnb1;Ppp2r1b;Prkcz;Ptprb;Ptprd;Rab33b;Rab9;Rai1;Ralgds;Rap1a;Rasa3;Rassf4;Rcbtb2;Rhoc;Rin2;S100b;Samd4;Scml4;Scn9a;Sgk3;Slc45a3;Sox10;Sox8;Spata2;Spry4;St18;St5;Stag2;Stat6;Synpo;Syt6;Tmem100;Tmem38b;Tshz1;Tulp4;Ubl3;Vps37b
