"C1" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "C15" "C16" "C17" "C18" "C19" "C20" "C21" "C22" "C23" "C24" "C25" "C26" "C27" "C28" "C29" "C30" "C31" "C32" "C33" "C34" "C35" "C36" "C37" "C38" "C39" "C40" "C41" "C42" "C43" "C44" "C45" "C46" "C47" "C48" "C49" "C50" "C51" "C52" "C53" "C54" "C55" "C56" "C57" "C58" "C59" "C60" "C61" "C62" "C63" "C64" "C65" "C66" "C67" "C68" "C69" "C70" "C71" "C72" "C73" "C74" "C75" "C76" "C77" "C78" "C79" "C80" "C81" "C82" "C83" "C84" "C85" "C86" "C87" "C88" "C89" "C90" "C91" "C92" "C93" "C94" "C95" "C96" "C97" "C98" "C99" "C100" "C101" "C102" "C103" "C104" "C105" "C106" "C107" "C108" "C109" "C110" "C111" "C112" "C113" "C114" "C115" "C116" "C117" "C118" "C119" "C120" "C121" "C122" "C123" "C124" "C125" "C126" "C127" "C128" "C129" "C130" "C131" "C132" "C133" "C134" "C135" "C136" "N1" "C137" "C138" "C139" "N2" "C140" "C141" "C142" "N3" "N4" "N5" "N6" "R1" "N7" "N8" "N9" "N10" "N11" "N12" "N13" "N14" "N15" "N16" "N17" "N18" "N19" "N20" "N21" "N22" "N23" "N24" "N25" "N26" "R2" "R3" "R4"
"Atp5h" 1549.53 634.69 6826.58 0 1746.76 2364.38 890.93 555.66 497.24 191.32 1476.15 540.51 0 11.79 1247.89 0 21.58 1565.36 20.1 0 1729.22 9.67 503.34 1269.55 1164.16 1522.07 45.23 896.23 0 17.97 0 12.31 13.32 3414.68 2532.66 1079.06 678.99 1143.03 1192.85 21.69 1398.38 673.13 0 25.26 10.66 571.58 1957.51 0 309 2250.22 1732.98 1171.57 2318.97 2223.93 0 5333.24 1037.89 0 192.04 2363.07 322.12 0 321.93 2106.28 2008.94 73.58 1252.82 0 2937.04 2007.53 2470.8 3105.36 0 2247.32 888.27 212.84 1258.92 2412.58 1022.61 870.77 731.51 0 1016.82 84.45 1158.21 1218.11 0 0 140.82 91.39 1730.53 25.9 1168.07 2615.59 271 670.54 1328.39 107.91 0 0 950.73 0 1317.72 470.15 3923.28 1874.79 571.03 1327.98 836.82 417.32 1711.98 845.91 408.1 1848.39 1934.97 0 1190.17 291.14 1872.82 705.83 276.8 3398.39 663.04 1453.92 658.59 775.54 951.33 2777.48 0 1901.03 818.91 0 1868.62 766.33 1539.73 0 1223.46 1290.58 1635.49 2145.86 400.12 37.4 176.27 0 1411.33 28.6 2049.02 2949.16 1063.1 632.02 711.29 889.64 22.51 45.89 0 851.58 895.41 829.32 0 974.57 966.66 825.96 1382.09 1770.22 3326.46 2860.41 0 241.26 1233.74 985.75 925.71 1451.12
"Dad1" 2607.75 4.78 2530.57 2738.36 1295.4 1356.6 6.03 1277.94 2810.1 929.76 0 451.73 8.73 0 121.74 2350.03 3.9 1182.62 0.45 710.56 1278.12 5.1 0.81 2031.06 7.58 1172.99 3.7 923.89 1329.06 201.52 13.13 343.05 7.03 5595.52 1269.2 3.45 2213.83 1711.69 590.95 0 3277.5 1101.3 1259.43 6.06 1298.04 1653.72 3158.05 1992.14 1.15 951.67 1421.38 1014.39 1412.47 1715.66 1708.03 1892.81 5.95 1055.77 1616.74 1235.73 716.64 2498.02 170.67 1930.93 811.2 195.75 1692.42 2420.01 1140.05 542.03 1267.4 889.95 148.76 1612.96 819.59 866.81 2699.19 2763.04 2.1 1517.33 41.37 1257 1154.08 363.33 2316.32 1224.71 0 1221.32 4969.29 1469.99 333.94 1493.79 17.04 1499.67 1305.87 1839.95 1132.42 28.48 0 971.97 3615.4 707.22 137.87 379.62 4175.62 718.45 1235.34 1356.15 4.37 1018.67 0 846.73 661.6 13.01 0 15.62 5.53 3100.11 323.77 6.71 787.17 2151.03 14.79 362.54 766.31 0 1135.57 1400.42 29.53 2446.18 769.02 26.85 1437.65 1298.83 83.26 2455.15 1681.15 1260.53 0 1073.83 575.27 1384.85 901.06 19.33 0 15.1 16.14 0 383.07 0 1174.58 1081.9 0.48 852.42 2739.45 20.4 823.28 1879.59 0 2181.84 434.3 0 876.33 0 3.69 1005.68 2160.97 537.99 5.09 881.77 256.65 2284.71
"Rps4x" 1683.35 20.83 3237.36 844.76 1138.01 11.79 0 921.36 895.35 1684.52 2124.38 2406.08 760.5 7.38 1660.66 1588.81 13.5 2152.54 12.47 1146.06 1843.22 24.21 11.25 4827.11 8.28 2090.11 1900.07 1178.85 527.18 898.19 1591.01 2615.99 2469.9 170.92 2460.14 662.9 7.2 2857.81 1517.03 13.57 1093.73 2295.9 661.94 69.82 6.67 0 47.96 7.6 2505.41 1155.5 1140.33 4304.68 1369 9.75 60.53 3656.04 1994.14 1738.67 468.63 0 1051.19 0 598.39 1919.08 1948.06 5.75 123.39 2.41 12.9 1759.96 5048.48 255.66 1.95 6.87 1819.74 6.34 1969.34 5542.32 13.69 673.04 16.35 57.81 133.04 1329.64 2063.83 79.95 1659.18 995.22 2624.41 5.36 1679.08 4189.86 1825.71 1769.2 485.58 4.88 1084.19 697.72 1581.49 9.63 330.26 832.72 797.48 1506.53 4163.55 457.35 891.21 563.35 655.81 2249.87 1457.05 719.39 815.16 0 13.51 0 5.6 256.7 386.07 1498.01 873.34 8.2 1154.04 3755.22 1773.19 3198.99 1071.47 1253.14 0 0 2741.34 445.55 407.16 716.06 1496.87 4.31 5.32 183.53 8.19 44.22 9.63 1468.57 0 11.46 31.54 2209.99 38.27 36.91 777.94 118.64 2624.34 1127.23 3.52 366.14 17.01 2647.85 844.35 10.38 46.24 2.65 833.61 1040.26 52.18 0 2473.82 0 0 37.74 1007.17 3.15 574.65 1399.32
"Rpl10" 1495.52 832.79 6542.45 625.81 11.04 169.81 4.38 1087.27 4.24 1404.71 273.09 654.5 1388.98 2393.1 2711.21 1333.89 1208.45 2038.51 13.5 1587.88 1643.4 62.97 648.11 6.49 0 1069.61 2.48 0 933.53 0 0 1062.69 10.22 5.24 344.68 0 2048.07 959.31 29.84 3386.38 1326.61 11.22 683.37 4092.48 4.09 109.61 36.18 0 1540.68 2567 3160.81 0 1292.3 1143.93 24.74 13.03 2777.87 331.25 1428.92 374.32 1673.04 11.42 79.9 1587.2 2245.21 0 1557.2 0 3189.71 21.15 419.67 1368.65 4.78 2172.86 1273.36 0 56.81 3.02 1046.92 0 0 0 3.12 3.24 511.82 1185.96 1641.31 243.27 1620.35 1178.65 2059.93 19.87 2.48 3.31 1462.8 0 0 2269.47 988.89 23.62 1121.7 781.02 762.25 1114.62 6.24 3.17 791.94 1881.96 6870.39 2295.41 1308.65 2120.3 24.08 992.52 1200.9 2377.96 1170.36 1553.17 27.84 1868.26 212.33 2368.96 1146.16 4639.72 926.51 3849.98 1372.74 182.25 643.69 1819.92 800.92 429.17 448.27 384.65 990.74 775.97 6.52 153 2197.99 468.19 956.2 1312.63 0 0 103.11 65.81 269.78 482.62 808.58 6.93 2624.66 2729.73 1372.89 1179.37 5683.81 0 1557.47 451.68 0 1186.37 1763.38 24.37 0 3445.6 2.68 1124.39 81.91 3242.36 1526.97 81.02 245.59 794.13
"Selk" 1151.5 33.57 5.1 1315.19 1098.06 1439.18 2.7 6.57 1186.09 1912.99 2139.45 582.44 3.91 0 520.16 4005.79 10.21 912.6 4198.86 17.8 14.47 0 1042.47 6 0 1797.12 1151.92 1170.32 19.68 0 1623.09 5.82 4029.8 293.9 1366.77 4.64 2.72 1763.56 1002.54 1323.39 1723.49 1231.8 482.81 1.99 73.13 1.61 1912.89 0 1095.97 1008.03 4.45 296 2737.5 803.53 1226.14 2.68 230.16 4.44 778.01 2250.07 1257.8 1199.93 447.63 915.27 62.92 4.35 1278.21 114.71 506.85 2651.05 438.96 1561.97 1580.22 749.08 616.76 1708.71 3081.22 0 96.91 820.91 247.1 1441.97 0 2164.95 1428.87 354.5 0 50.76 1082.21 2544.69 1391.76 24.5 877.67 1172.25 1631.12 222.55 28.24 4.25 1853.22 1529.02 1288.87 653.7 3146.5 240.87 3.85 1304.33 3547.42 10.64 1916.02 636.12 1136 591.61 861.05 0 1158.15 1217.62 1168.31 0 460.17 1895.23 843.9 518.5 501.26 456.17 251.56 1729.43 892.3 2067.91 0 1234.06 997.86 186.42 271.89 1553.78 0 670.4 3756.23 1108.4 1012.24 993.55 2379.84 495.28 9.26 17.32 7.95 8304.27 3340.93 130.17 1504.01 3032.8 1606.51 2396.83 612.42 10.85 12.86 1987.8 465.2 873.73 0 2274.37 577.3 3729.42 2287.64 0 178.56 789.36 1730.47 514.59 799.15 0 383.27 9.9
"Rps19" 12.16 608.44 1026.23 422.87 277.58 13.46 0 231.52 820.84 1054.22 0 777.96 11.81 0 1017 967.18 766.34 1105.11 640.6 430.13 579.32 221.06 706.22 6.05 9.45 1982.46 883.33 7.27 906.42 693.19 763.88 1574.47 1446.42 0 1421.16 672.66 8.22 34.6 1028.1 519.53 380.09 1348.22 1193.12 3470.09 0 1263.7 0 0 2081.32 1851.44 1345.4 1259.1 640.58 1258.08 1524.86 331.62 1950.07 1126.5 1426.58 662.11 1598.68 680.3 0 1029.39 2394.76 3008.7 364.03 247.51 2528.7 653.94 942.79 2190.48 738.27 1444.36 2038.58 961.43 214.04 963.01 2377.93 524.41 0 12 2986.51 1104.45 1975.32 176.45 1703.01 6.97 1508.82 350.88 588.04 1946.54 415.01 1165.03 727.31 183.75 482.67 2197.41 2975.68 307.92 556.24 531.6 1928.75 1587.5 1401.17 0 572 48.23 1375.21 2949.13 1428.76 4025.3 381.19 438.79 1406.8 0 1203.35 1001.99 103.7 1090.09 1034.83 6.24 1520.85 2043.09 2329.5 1457.33 1630.85 946.68 465.71 262.93 1628.07 2034.5 652.33 215.34 1614.15 270.34 1310.85 698.16 2052.81 1385.91 355.84 935.08 188.86 0 1008.1 0 1717.39 4465.87 797.97 5129.91 1582.83 1897.85 0 147.52 679.78 0 396.36 734.55 1508.01 0 566.54 650.48 34.04 0 3256.26 1538.44 872.16 91.32 692.6 1444.14 548.84 1420.4
"Rpl37" 706.51 659.62 10.34 641.65 0 1054.87 401.11 747.64 280.56 793.28 727.06 407.89 764.62 1290.37 654.08 637.07 580.61 1711.35 0 2394.06 4.89 6.18 5.74 1325.74 5.1 418.26 770.76 0 1574.82 1589.19 761.87 560.43 17.02 1814.83 1026.12 861.04 72.12 644.41 547.73 0 0 1925.97 1196.69 1332.85 1476.89 781.27 1069.7 31.04 1060.98 970.28 1120.02 25.63 428.24 663.38 610.08 0 1767.08 2176.72 138.33 507.78 845.08 19.01 375.01 352.03 1687.89 1447.48 273.99 2.46 1574.38 2079.15 1138.15 1975.93 7.95 2414.63 1289.25 551.91 1336.11 610.69 504.7 630.3 933.69 915.38 19.21 528.43 1076.48 767.17 821.81 884.33 45.05 985.61 1164.03 18.11 1221.37 275.72 610.08 565.42 505.38 804.88 3436.9 1385 1783.21 574.63 753.67 1839.46 2995.47 852.31 279.78 142.15 777.34 1988.02 662.33 1764.08 541.4 1167.08 1133 952.46 1115.14 35.64 620.36 686.14 1038.23 546.51 1981.94 2140.18 496.26 767.76 800.63 344.17 1548.68 336.61 1277.77 1060.75 1218.46 0 1840.26 267.57 16.28 774.92 285.06 1381.98 0 1411.07 1001.37 23.4 2472.07 6704.23 1752.01 2437.87 1151.17 735.09 2856.34 1018.78 7.14 219.88 1059.93 1038.41 1337.61 185.03 601.95 759.18 946.15 406.45 376.74 16086.57 4.47 4.13 974.2 565 2352.74 1011.74 704.66 1249.87
"Ldhb" 1829.66 12.11 6.95 1277.09 1.55 1401.66 1282.57 1581.49 1497.09 3486.23 2615.91 924.26 3231.46 7.6 874.56 3446.74 6.95 11.73 706.36 181.9 179.97 2017.74 0 197.67 2039.58 343.95 15.61 21.33 1306.23 3742.9 8.01 31.73 6.44 1929.79 2921.91 11.59 1418.32 995.62 1426.66 10.48 12.96 0 542.68 1041.93 12.03 5.48 1631.94 3.91 8.3 47.42 1471.8 212.01 1599.64 1260.66 2498.88 6089.22 0 3.02 2211.04 12.62 7.16 1552.64 332.54 1085.66 2.14 6842.17 3.74 8.68 2996.71 4210.3 719.6 19.75 0 3405.86 0 3630.54 1336.21 2.54 5.13 143.03 12.63 1571.88 6.55 4468.59 494.87 3747.8 0 471.6 3221.5 4.6 1385.83 3526.3 2776.85 1693.28 714.42 1630.43 1705.53 319.08 2078.9 19.84 111.52 1369.67 1475.64 416.58 3.93 2624.35 3281.07 0 0 621.88 3.86 458.74 391.94 0 1305.36 1434.01 15.86 2195.94 0 5.12 0.95 98.52 3.01 832.81 388.91 816.91 0 1088.83 4.51 3329.86 2.2 0 327.03 829.64 2.42 2776.1 0 1306.36 2.11 1614.65 1918.93 807.44 3556.05 11.8 16.24 18.43 4.93 12.67 11.61 8.73 3.95 1535.94 3.63 4580.19 8.76 2138.23 42.67 2054.27 5.95 1268.37 5.99 1004.8 3.84 0 10.14 5.21 910.31 1.62 1.55 3.24 2757.66 1.69
"Naca" 0 2721.34 2.18 1025.59 596.43 973.18 1207.67 792.43 1417.95 27.57 255.78 610.74 3.34 272.86 1838.74 290.86 17.42 595.03 1294.92 121.5 9.26 1848 476.93 5.12 197.51 531.83 1393.64 6.16 1133.33 7.25 35.13 91.94 10.75 2.76 1558.66 1848.83 2.32 1506.99 123.37 2455.75 3.75 89.38 1033.96 949.82 3330.99 302.04 14.28 3480.4 1631.77 2267.61 589.12 1641.85 643.99 729.75 1901.22 4.57 13.66 1939.58 914.54 985.29 395.09 5.96 450.85 1700.02 3516.48 18.56 767.67 2897.09 66.54 6.68 99.05 142.9 1410.89 1243.81 721.36 664.36 1139.07 3447.43 1095.07 1595.13 5.27 3.39 4.92 1019.49 2189.52 601.53 95.59 13.78 0 932.42 96.18 15.68 971.69 3.48 417.55 1102.88 1.17 2822.11 797.01 12.43 426.24 1742.58 470.7 4.31 3.28 198.38 1.58 4.54 1131.79 2882.34 1669.33 1473.67 1238.3 0 1660.44 0 632.47 112.14 11.72 3.85 999.92 0 1151.3 2005.7 1175.71 1309.01 1101.56 618.38 3504.94 2568.11 2450.93 1370.09 1163.99 12.41 564.29 1095.7 504.96 970.01 7.92 2.59 1701.48 754.68 1043.24 51.73 2763.32 10219.4 1832.7 15.87 640.02 4043.01 309.88 2.99 3524.87 745.55 21.94 1333.34 1078.92 1968.26 1655.27 1113.18 5 1852.52 1831.88 13.23 6583.23 1183.19 546.89 929.02 1.94 893.07 1552.33 0
"Rplp2" 0 2169.55 0 1595.1 0 155.52 0 1063.67 0 1281.7 0 0 0 0 59.49 0 0 72.05 2422.8 0 0 0 0 0 2767.87 0 0 0 3120.64 0 0 0 0 0 0 266.45 2211.63 84.98 53.21 0 24.64 161.99 739.99 0 0 2305.23 3307.73 0 1868.21 247.31 0 0 0 0 0 0 1068.91 294.29 0 66.54 1567.68 0 117.19 0 3678.75 0 0 0 3247.05 0 374.47 2490.53 3988.33 0 2403.03 0 1868.52 0 3538.88 0 0 0 0 0 0 0 0 0 3290.77 2058.56 987.79 0 0 5261.99 1136.56 0 0 124.4 5148.37 502.59 0 1495.73 0 563.15 5889.3 1284.01 0 0 1149.57 1716.45 1570.87 5502.52 1038.84 0 2162.39 2448.35 0 0 9559.54 3510.92 2094.23 0 1492.09 2883.03 1665.91 4736.84 1422.5 2640.22 0 1405.17 983.55 3407.99 821.44 840.15 1078.85 885.15 278.98 678.48 7.62 1452.39 1000.21 1953.03 0 0 1927.33 0 0 0 1818.04 102.15 2885.93 0 0 2163.29 229.21 2698.61 1655.28 3037.55 0 159.72 2612.44 1562.71 2293.98 1058.98 0 0 758.08 1072.33 0 266.25 1810.39 0
"2610017I09Rik" 641.44 368.75 2018.85 1051.63 3049.1 650.58 788.89 1732.73 1359.77 1098.26 4601.33 58.18 4048.98 7651.37 1296.78 5096.84 27.1 1410.62 0 819.17 307.45 0 1963.87 0 1644.57 602.88 8.11 383.64 1729.76 749.83 1124.28 417.5 3209.47 17.15 820.72 0 2262.1 535.2 1432.75 2260.96 2056.71 45.94 0 412.41 455.32 1102.24 44.42 0 2519.19 631.81 898.83 967.33 710.23 1526.78 802.29 1137.54 779.14 3366.45 900.28 1885.32 634.62 0 1117.67 267.12 267.24 2840.96 1544.04 1469.51 0 1964.53 2820.6 615.7 1289.71 2318.66 516.66 2927.13 0 0 19.99 957.65 5183.52 0 10.21 1368.67 2560.99 1588.48 3646.38 1739.94 2651.93 1551.28 759.51 618.03 48.64 1322.06 381.75 2809.38 1979.92 1580.89 15.95 0 1151.7 2411.19 2441.32 0 1540.74 1120.05 343.74 1017.49 603.43 0 0 254.33 39.42 0 1808.7 3290.21 415.76 1595.3 1859.5 1030.4 658.73 1218.07 598.05 298.33 1017.73 329.61 159.28 2340.1 0 735.1 839.79 798.35 5.94 1022.25 424.43 1556.81 0 191.53 16.43 516.33 38.65 46.97 1806.89 0 0 0 38.4 0 248.89 0 0 0 0 144.2 0 0 0 166.63 0 0 0 0 660.72 0 0 0 0 315.78 0 0 101.08 0
"Rpl18a" 16.48 1345.51 2007.89 355.48 6.18 458.48 702.09 744.1 334.27 1315.92 81.04 1399.09 10.64 267.74 1169.86 2799.13 878.56 418.84 1439.06 755.46 583.6 4.67 581.55 4.09 532.44 750.9 4.16 213.03 431.87 383.32 12.01 5.94 413.7 8.79 1066.86 781.58 468.52 1157.67 1689.13 104.72 1186.71 2053.07 466.51 1713.61 489.09 1103.73 5.69 7.82 532.07 725.2 1632.89 852.22 327.65 2121.93 2470.79 163.99 874.94 2064.24 1452.42 1098.73 985.56 605.93 155.49 812.18 2631.79 11.84 403.2 137.43 1235.75 714.28 710.72 1667.51 992.09 2052.8 1325.1 6.52 1407.59 383.14 799.7 6.83 4.2 929.64 521.44 996.89 1567.94 383.8 0 9.42 2176.14 1478.91 587.56 4.17 1216.23 1762.26 510.39 935.82 217.17 5.79 1779.9 9.91 515.16 3.33 10.43 1515.3 1415.42 336.23 0 608.47 2457.76 994.19 2381.77 1785.46 305.62 807.48 601.87 2.38 394.39 545.1 14.02 1962.7 559.21 300.84 2267.64 2278.42 590.04 1463.12 1673.63 299.63 1679.67 822.3 1243.07 1422.89 536.04 558.42 824.24 523.76 1112.87 679.28 132.64 1476.48 153.53 828.78 418.72 25507.28 1810.12 9.2 885.96 779.77 1010.89 1725.95 1592.37 429.46 1131.92 254.78 4.38 1806.63 1097.87 1282.94 1379.54 221.93 947.25 57.93 951.01 2299.73 1204.74 1.04 285.08 56.61 179.77 790.14 395.55 261.19
"Hsp90aa1" 476.88 1435.42 818.29 171.29 1045.64 535.05 1419.26 954 1814.7 918.7 1108.02 1005.76 3.77 8.06 1627.46 234.37 806.89 629 504.7 332.75 143.85 9.37 814.16 306.97 52.79 1759.85 1251.94 93.21 759.7 370.02 9.92 448.72 992.75 638.82 998.38 1094.78 897.59 1003.83 1530.22 761.31 1.41 741.03 1199.73 1493.64 2348.69 163.59 1091.07 4230.72 435.7 1364.39 88.53 1508.71 395.88 771.44 3.31 1808.86 1423.93 820.41 1952.54 104.85 798.39 517.82 361.42 447.86 221.64 2345.21 330.44 20.18 1611.47 528.46 1255.72 1036.67 584.23 1947.11 1645.7 1699.42 902.88 328.58 2353.28 863.12 2703.23 1513.26 1946.9 1000.82 235.49 6.79 1.74 337.44 28.08 1293.7 132.09 598.49 320.66 6.88 1820.08 1152.27 1604.12 692.66 314.05 1993.46 3.94 5.89 1763.58 1388.02 1029.48 1073.65 1081.08 1778.68 973.3 989.5 2214.01 514.64 1716.08 1287.47 459.65 621.29 982.31 211.1 3209.03 459 2158.49 1444.99 1298.15 840.23 680 1287.35 525.73 663.35 2372.89 730.26 1331.21 956.9 1506.51 216.26 1220.23 7.84 2066.98 657.06 2341.38 640.43 14.03 1163 1020.98 33.39 3.83 13.03 442.55 31.36 481.49 594.63 1911.55 2649.25 4268.55 15.69 18.59 3761.37 7.18 634.26 1281.9 3083.34 1194.55 1111.29 69.22 11.21 1010.28 1.6 2002.39 1602.79 418.97 638.7 995.56 1255
"Mfge8" 400.44 995.25 503.73 2651.8 7123.2 4.1 892.67 3496.28 879.74 1601.41 1175.43 2240.06 2388.54 3.08 815.87 3429.06 7.52 126.84 1741.71 1125.58 2602.82 678.86 1029.13 912.72 1763.2 2387.64 13.51 1856.52 3911.32 4.7 2153.67 1375.18 1090.63 5160.05 8.31 1532.87 4994.1 2387.16 1363.19 2973.71 840.09 819.06 111.5 136.08 4.64 537.57 578.33 21.16 1815.57 64.51 55 1104.55 1180.09 512.36 53.93 6.9 416.06 2183.66 3.35 1460.96 128.2 1390.94 3697.92 265.55 728.39 3402.39 2623.01 617.77 1653.89 440.04 1395.72 628.1 2.71 4.46 728.04 774.25 2370.47 1622.83 1.73 1.98 47.81 598.63 2.83 943.26 10.97 2310.73 3005.17 85 6.15 1278.6 1203.26 821.34 525.76 2057.73 3.76 1016.93 1424.42 6.27 1.11 975.22 1753.04 1782.34 3507.39 1059.68 23.4 3724.11 3384.59 5.88 153.01 5.84 1042.85 779.02 8.2 568.92 1657.09 99.53 1780.41 283.58 697.5 1217.16 769.72 3.8 27.14 199.35 1.65 4.16 61.94 1921.11 1415.34 2581.5 3.57 6.65 2.47 538.76 0.65 2132.35 1.48 93 4.56 6.72 7.73 17.92 2703.52 0 2.93 14.95 15.98 10.28 6.28 0 8.55 12.92 42.16 2314.71 2.37 1.65 1264.22 2.89 2238.32 1.48 4.32 3.69 372.59 5.71 1896.17 1.69 2.79 1.75 2.35 1.75 4.46 607.18
"Rps23" 2698.09 482.48 1829.27 702.76 0 10.93 3.74 1050.48 141.08 1382.94 134.92 384.41 2027.95 475.9 248.97 989.82 0 1978.54 23.13 831.84 0 2499.99 102.99 22.2 0 865.84 59.62 149.63 374.66 62.19 0 602.02 57.98 1685.7 23.7 768.74 934.22 295.71 915.12 1273.59 1018.25 2593.01 2247.71 1009.59 0 0 391.39 28.19 3475.35 2641.44 1065.36 303.85 491.35 426.57 0 341.62 1338.88 16.94 693.79 850.98 663.73 0 262.49 971.03 1390.86 128.06 300.65 2284.62 2062.8 4122.39 1837.25 2990.12 0 2318.98 1928.77 68.07 1523.02 240.14 352.56 18.07 60.63 0 1538.93 25.52 29.22 9.88 1037.58 1329.09 81.7 311.51 1768.69 0 542.34 2773.91 1049.31 744.55 2449.89 9.63 1669.05 478.6 1108.29 1248.44 594.69 1215.15 2661.17 1300.12 654.17 0 9.61 2258.71 165.99 3121.75 313.53 171.58 2565.72 0 207.67 1231.61 96.12 1519.33 507.21 2288.45 357.15 3085.46 1054.1 977.61 3040.18 1853.32 1347.24 932.48 1806.37 1554.63 846.46 433.46 507.68 2327.95 1402.3 799.5 1735.09 1049.68 572.45 1278.41 0 0 1547.9 0 3503.82 1302.4 1620.69 0 785.43 805.7 692.16 527.84 4466.73 2284.41 1993.67 1554.83 128.64 44.89 2426.62 1682.52 1874.57 0 731.24 304.4 0 694.21 11.18 1282.77 387.08 48.58
"Hnrnpk" 3.04 2958.74 2843.71 977.57 71.91 128.56 2232.66 1580.99 11.83 835.67 433.29 642.86 13.28 2925.62 1267.51 3.99 11.55 1328.53 1868.83 399.83 2053.06 257.86 188.61 1137.15 1629.37 1350.38 4331.07 1256.76 612.53 887.86 8.87 3385.03 946.39 362.03 78.34 1064.11 9.24 203.91 372.6 63.86 64.97 215.37 2200.7 646.37 39.95 3056.62 704.77 119.76 2159.4 122.8 4.2 1055.04 3088.72 552.17 1455.37 1294.11 1406.86 8.37 3864.5 2344.91 1269.83 1500.62 409.26 641.6 2.37 3029.46 889.63 1308.76 2650.92 13.77 700.37 123.23 67.2 50.26 857.98 18.98 13.21 2604.88 1435.4 1850.29 4241.55 539.46 1044.62 659.63 38.18 425.3 1329.49 336.55 31.4 40.24 2034.01 1807 4.61 3.85 1364.02 889.53 830.03 541.91 103.1 2.75 137.59 266.09 2457.87 1279.67 3.63 829.05 825.28 4.02 1360.82 2238.47 1050.46 517.71 833.29 101.12 151.93 5.28 202.86 49.58 2104.92 63.52 1355.94 125.35 1311.7 2007.87 1567.75 1250.24 1074.86 109.89 7.49 89.3 366.44 4109.59 652.6 100.09 3252.19 1651.8 268.28 394.6 5618.62 1581.86 376.12 721.23 2717.25 19.6 3 17.86 229.15 10.52 1906.19 11.28 1553.97 1096.66 4.02 728.68 7.28 1671.98 302.76 2.96 9.89 115.62 1.11 3593.05 42.51 820.6 3.74 2316.61 1154.2 664.32 42.13 453.99 2038.21 104.56
"Ppib" 2100.35 3825.58 11.34 1178.78 832.04 18.25 1337.96 417.53 1.95 3525.99 934.61 4.06 3009.89 12.21 141.22 0.81 154.27 0 4.89 2231.76 4859.28 124.32 1851.65 3996.66 9.88 7.63 5.09 676.95 57.74 0 13.06 47.61 3.5 0 18.43 1145.09 0 89.21 0 1874 1090.52 6.86 3987.88 1554.86 1407.41 3397.81 1599.3 0 2754.85 916.14 1453.55 0 835.17 3636.13 1.69 0 655.22 3567.73 1048.25 0 2023.95 3.91 1318.28 992.36 1673.29 0 1687.78 904.71 0 7.64 456.05 767.55 3.27 3.85 1405.45 1127.98 1721.42 1.39 1192.49 3724.11 0 13.24 857.34 4.44 870.01 1666.85 260.49 10.09 254.96 0 1245.89 6.8 11.24 0 1524.52 0 1.52 0 666.34 9.32 3246.49 1.36 181.32 2393.8 5 338.53 599.54 5405.17 0 1495.22 2490.84 812.94 1436.89 352.88 1121.9 3.89 736.87 1754.61 2037.9 1.67 1077.73 0 2.45 776.85 381.35 877.86 1342.13 2.97 7.35 1131.78 5413.29 5138.8 109.83 2381.77 584.03 8.76 0 1618.55 0 1139.05 1947.35 902.71 5.14 40.87 2015.68 15.02 835.51 1141.07 0 2906.46 230.31 0 2062.18 2359.2 27.6 0 2.23 3491.96 18.15 2659.42 13.99 1152.14 2695.16 0 11.77 13.36 2744.57 635.77 0 886.87 813.69 0
"Skp1a" 944.68 1734.07 180.25 694.65 68.75 105.66 1640.86 553.62 1867.22 195.75 37.55 778.42 62.57 12.75 1268.06 53.16 1790.6 846.19 103.92 1034.52 1468.25 11.76 2035.54 1971.83 60.78 1192.8 1842.51 3021.65 848.99 1806.87 923.9 1035.06 14.4 44.3 1834.62 2076.22 1813.45 950.61 2235 35.18 1687.26 1777.73 1403.24 823.92 1193.82 1575.46 73.31 13.13 480.2 1029.65 257.28 1895.52 88.44 1968.8 1730.89 985.47 916.23 2195.47 835.63 1256.17 336.19 2.01 1113.19 52.43 377.56 79.54 2966.35 1900.12 82.91 1739.68 1086.36 1170.32 81.62 517.36 879.44 1476.43 1285.97 372.69 731.59 2052.88 681.4 1065.54 233.12 1332.49 2395.35 374.11 1536.6 101.54 28.55 1326.63 2096.34 87.51 1106.13 1667.43 141.49 423.47 1256.08 1946.77 3208.48 262.15 1064.02 58.67 289 809.4 45.1 1422.96 983.99 3300.21 1349.28 1089.23 3164.51 539.35 1639.68 122.91 719.01 27.99 1120.56 39.34 598.38 224.27 816.48 153.96 1553.38 1837.29 962.02 403.09 1581.55 1080.18 1111.41 731.96 949.81 34.37 939.53 1658.04 418.55 1075 789.92 1193.87 125.54 2064.59 45.75 1119.72 148.17 19.8 1064.45 123.67 1579.14 164.07 1178.52 1347.06 527.01 24.04 96.03 830.74 102.89 1092.53 492.53 1905.2 883.38 9.16 738.57 668.27 313.97 8.86 153.07 133.8 872.18 1210.06 4373.02 742.59 2166.37 1473.14
